id,weight,year,country_code,country_name,country_year,life_evaluation,life_satisfaction,positive_affect,absence_negative_affect,gender,age,age_squared,relationship_status,food,housing,health,water,air,healthcare,security,security_obj,social_support,respect,education,interesting_activity,recreation,occupation,freedom,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_security_obj,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,social_protection,welfare_state,government_effectiveness,democracy,importance_rich,religious,altruistic_behaviour,rating_economic_conditions,confidence_institutions,expected_economic_conditions,satisfaction_standard_living,gini
1952,0.9280863103803066,2011,SLV,El Salvador,El Salvador_2011,5,NA,0.9612850161094159,0.9651104652406058,female,29,767,single,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,5.469492390963947,17.74871786421371,56.006792765390486,62.51902032405724,78.18223071987694,71.04966995952529,67.00599204551804,61.64904658013892,39.13920662926631,79.68125761893332,70.63012946420753,91.2411515136214,41.15568057514629,65.10225031142843,82.24503883036822,80.83910469275284,74.6749715199045,9.211332888699804,1.1302899125478272,20.31626795264286,NA,0.27372396668320675,0.3061068457734673,NA,yes (practising),0.30371864338100457,NA,0.7818016396873878,0,1,43.18667106543367
1569,2.6107628865428425,2013,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina_2012,0,NA,0.31525718530360236,0.05819615172114319,male,74,4680,partnered,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,7.879875194837252,27.37426485902902,80.60090358653946,89.14783571638786,71.74664033549368,76.19097833077564,71.58310993445431,46.657136603673685,62.90697643285086,91.5664807881989,80.5440878888876,78.59122418879086,49.69008038261981,35.639290934839124,67.08835360788346,96.10838084217978,42.75259049863674,8.971424593784509,1.5562744764449565,47.29640317513751,NA,-0.5178183170614947,-0.43137661544935246,NA,yes (formally),0.04162028208280528,NA,0.008983994664178235,0,0,NA
4238,1.008723087305404,2016,KGZ,Kyrgyz Republic,Kyrgyz Republic_2018,4,NA,0.9377347155963422,0.2757734212491811,female,32,2015,partnered,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,8.933128978008263,50.83714018282135,56.76375957208031,47.52516481159215,69.13233257835203,72.04974139956308,81.31360343269333,62.53606183254618,49.77369769605238,86.17469042101666,88.77295527552174,89.23719405429537,78.41948162388825,38.8878291153694,59.343976927629555,92.09111492467983,88.59781332212316,8.586648382825256,0.7866612949338001,39.03636783238948,NA,0.10581409656875773,-0.14145651136267035,3.8058865177869854,yes (practising),0.1063767172606489,2,0.7617522469016857,0,1,28.1621617143397
5719,2.1072420579100637,2013,MAR,Morocco,Morocco_2013,4,NA,0.5565945697740866,0.42410087078127784,male,28,581,separated,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,5.999532469410818,39.05622704358631,62.068995549658176,74.10475769171148,71.28610984384558,67.31933854056707,78.3188382388051,38.9344431366212,63.68996787125981,83.64077306340246,64.96449483003744,81.72930787455289,40.10254043745209,38.713296676766575,70.93621563554645,87.37283312660777,68.67025081740734,9.184395340843482,2.936215493487022,NA,NA,-0.3433121379853411,-0.8427643321735983,3.5406205546997325,NA,0.2926456961015156,NA,0.9722502326821554,0,0,42.82878595811698
1400,1.7989617745542632,2020,ZAF,South Africa,South Africa_2019,1,NA,0.7771157657253125,0.9993100132801773,male,40,1949,single,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,6.772691223468682,68.87257932723827,36.76736751127421,60.12518198833698,73.51912279595642,63.9234207771235,59.48933271693745,48.20420070960786,30.570671585329695,62.63669274744781,84.48764210412003,89.14631003914711,80.85273162744784,54.76951495720818,74.97416897473158,89.80130032110193,72.04768881584157,9.786190898903838,-0.07235997517147184,49.92672106366125,NA,0.09786058332969583,0.6380461789774404,3.890209571692609,yes (practising),0.3466272840072821,3,0.990492823352323,0,1,NA
20,2.8951598744207714,2019,AUS,Australia,Australia_2020,8,NA,0.9374946159636132,0.9965164324254852,female,41,4324,partnered,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,8.623235416071761,69.49843305972993,66.63945563938194,66.35255491865291,79.39871766560668,93.51372723623143,81.70150523820985,85.72599828136063,56.948739448107524,83.80872902021585,49.88099455779674,92.47385555620679,94.51340614047791,61.92988529150224,66.6786585671869,89.2842440658425,85.00667940080409,10.537440302545418,-1.480136418886085,86.34274420093539,NA,1.473864275970809,1.1715308697585682,2.321395811557841,no,0.4934040039838501,3,0.9792923524678202,0,0,NA
670,1.242943283751654,2011,SWZ,Eswatini,Eswatini_2011,7,NA,0.8140479638059207,0.7109630965914967,male,39,922,partnered,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,8.238654034102696,80.51981946788084,43.99007821952553,71.19359187625916,64.93914375783093,54.43746159148199,80.47384827459673,59.16623766187662,34.64644974027337,65.33588158645902,77.1528532068837,77.99295566368988,62.14901780520842,62.94907296791258,70.262756240694,75.33840557024051,64.7000278654846,9.206418190971513,3.0082020707476973,31.169872251573864,NA,-0.5940430583145029,-1.208514696723697,NA,yes (practising),0.4254820662013948,NA,0.7723230775263639,0,1,NA
833,3.9656867753176117,2011,JOR,Jordan,Jordan_2011,5,NA,0.052793902638215484,0.6497330327208889,female,47,1988,partnered,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,8.236239331794073,41.19726983934085,76.17088086950636,83.73719451344388,85.93297797626288,46.25702507661952,60.03597525268894,68.52072617028907,75.75911372887535,78.81551897472461,81.96746645830567,82.84314483149849,69.27846292712434,42.45778701403574,69.45192695789875,95.7722148827492,69.6762730974575,9.362503022377108,5.327123313316348,46.42082383549081,NA,-0.5002602482767252,-0.6900309492195962,3.8412688646084456,NA,0.08702182292222332,NA,NA,0,1,NA
3037,1.9625259695013266,2016,JPN,Japan,Japan_2016,5,NA,0.9029995200128865,0.4026934462936584,male,67,4175,separated,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7.930767994727821,20.635555812929848,65.68394088619957,93.277877101175,80.06400380925133,79.90151017715584,75.98656428151055,76.88731164022971,71.458579905287,91.11146040160037,87.3662405301027,72.60643409852945,85.80421183199026,64.8109314586622,78.81223283472718,98.41577580149016,71.90041387780461,10.202963997078488,6.162745555959397,81.70162063148176,29.349920881628616,1.7419744331529994,-0.20391210406409,2.2384388020652493,yes (formally),0.08166405040661319,NA,0.4464111334151329,0,0,NA
290,1.6010765810009908,2018,CHN,China,China_2019,4,NA,0.5561191350825192,0.8762316531487332,male,40,1600,partnered,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,7.121819461178232,31.02186670660854,86.53410637949153,76.81483984985685,78.30712159752755,74.62374331560889,79.17246688176859,72.54648936750166,71.5835082980973,92.7463778537471,77.43572082580508,92.95500675548726,22.711530402721017,47.53885301225325,86.66783842035723,95.32984251490147,81.09198966987333,8.655026538737408,2.260647637159363,67.05568970694443,NA,0.6834902547503056,-1.2188610241818612,3.4171681656994246,NA,0.48743013148226055,1,NA,0,1,38.313554519206804
1002,2.2164096374192916,2019,RUS,Russian Federation,Russian Federation_2021,0,NA,0.04406237731718914,0.045692041639995774,male,65,3039,separated,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,5.978088058181711,10.20243107839609,59.797242407786136,55.53411485510643,63.17931439117742,59.8036944150692,62.603584608049744,38.37917294725497,52.42122773369908,81.0016361664183,84.32473162335903,91.32788336948568,62.4545256755799,54.38221230710358,55.68162123253417,93.31363624447795,68.38620414444561,9.817190280315458,3.2296076618260416,75.18441006739667,NA,0.0075921881244037925,0.30587747224355777,3.539320476044707,yes (practising),0.6569351016620303,2,0.925005807943734,0,0,NA
1884,2.0165209268240067,2010,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina_2010,5,NA,0.9661821014926124,0.7017054840741414,female,35,1588,separated,1,1,1,1,1,1,NA,NA,1,0,1,0,0,1,0,7.028244452017152,69.32782705216955,74.62121167794437,74.73241600647755,69.27019710018936,70.90288709644366,71.48554875060763,40.41249621605795,NA,NA,75.37855457303718,67.04319375076999,64.13893620605019,38.59514978734265,48.11734832545373,96.03255574146908,38.15595171866149,9.263921465564197,3.6840690129478895,49.0645772545407,NA,-0.812189123398994,-0.2630401010620452,NA,yes (formally),0.00014760708846234358,NA,NA,0,1,NA
6338,0.5582047601485097,2014,IRL,Ireland,Ireland_2012,7,NA,0.9404564173467381,0.6207701176858978,female,57,3097,single,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,6.693156414996038,24.414093734781588,86.57190534916322,94.24738346243439,66.47982593525037,83.19215303101892,93.0452510992657,60.73703139107867,64.27951992999903,86.70596055029309,93.37202544896547,93.09367471307944,84.8340648892952,47.69882350818587,69.3205232119627,91.25035747750422,84.90901320804056,10.801083172105818,0.00860718906207264,88.75978092641395,30.49274649434815,1.3781519971913647,1.1966660262335076,NA,yes (formally),0.3495374636052426,NA,0.7494069848567008,0,1,31.318359633051752
1388,2.822844998557548,2014,URY,Uruguay,Uruguay_2011,9,NA,0.9962969070142816,0.6835255253466872,male,18,740,single,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,9.529887755448373,77.53585512035318,66.44217538415674,77.33618765906914,74.0977759173595,77.73621533006049,85.1840904508826,72.2201485510765,48.67786010074726,78.05842005306013,77.16440602485062,94.55681853129113,49.899827485479975,46.449309773537074,72.690703241851,92.23292917891884,81.65470167454129,9.98358406503769,4.989547544567186,85.3489020632075,NA,0.6335843433154142,0.6160666549293011,2.521544916273008,no,0.2482618142191142,NA,0.9720537232095536,0,1,40.54888282084578
1498,2.030757546074207,2017,JPN,Japan,Japan_2016,7,NA,0.9265348465908291,0.9716892213414152,female,48,2217,partnered,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,7.325219059760826,39.382208217781475,86.427774052912,84.19080945540296,87.53047058541061,86.71859142494915,80.35109642327735,77.23975482633018,69.28495149476194,84.96719701600598,73.88115596409939,69.68500167100679,76.62491514508034,51.37126880828362,78.21036092238928,92.50405656717042,82.79838956734139,10.265197915354811,-3.6031027456655726,74.37083795294365,28.860413694858707,0.9400324522922004,0.9485835907395379,2.0816821642776,yes (formally),0.35348875472805175,NA,0.744695435742461,0,0,NA
