estimate,se,z,p
2.4565334984309564,0.07184401760620213,34.19259640929226,3.115236882831885e-256
-0.21025634166681753,0.06328247436782332,-3.3225050658531887,8.921305141135543e-4
-0.18466436417273718,0.05911515438914515,-3.1238075258523836,0.0017852719724585893
-0.3355160506977653,0.06077310800030989,-5.520797960440898,3.3746362473052005e-8
-0.3399549307078558,0.059784805825811256,-5.68630985769774,1.2981377007663661e-8
-0.3684511469053495,0.05910092314763177,-6.234270588040954,4.5388794871889114e-10
-0.42720259469116045,0.05940063672115935,-7.19188578224423,6.390247945861781e-13
-0.5538244931140824,0.05906281948325923,-9.376871912981711,6.79589855583616e-21
-0.6700328304411777,0.058696794077716455,-11.4151520703845,3.512890230887268e-30
-0.7985016317810374,0.05890884941782433,-13.554867217274676,7.414620023701239e-42
-0.8137015477145126,0.059621380862845685,-13.647814524564087,2.0802414460382208e-42
-0.6816427022353028,0.06295042120906022,-10.82824688291675,2.5295176191840154e-27
-0.7580682854616104,0.06114856968090173,-12.397154821732071,2.7076796042880485e-35
-0.8757319587729229,0.06034322715222633,-14.512514495847828,1.0095101522788426e-47
-0.04403218997127647,0.004281040529872605,-10.285394325053675,8.200570854157154e-25
-0.027687665552909024,7.146495482052775e-4,-38.742997350858126,0
3.1416405898024725e-4,7.68492058386469e-6,40.88058627956002,0
-0.025082655718912206,0.005811790048412318,-4.315822751677748,1.5900953440989205e-5
-0.2840489156081942,0.009975237827448472,-28.47540284469087,2.362691566914302e-178
-0.18672919866452206,0.01088921752700564,-17.148082330197475,6.496102407676333e-66
-0.004379406640918991,0.008308564292397845,-0.5270954748374581,0.5981272890180427
0.316421348991504,0.0053904576021309245,58.7002759963121,0
0.7179206058598573,0.04812473270541688,14.917913627789329,2.520312621517593e-50
0.043713182798912856,0.013721622429311043,3.18571532077258,0.0014439660724373702
