(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.02518698040944699,7.673054638027592e-5,-1.3385926816933968e-6,-1.5290934521969775e-4,-1.780450239873948e-4,-9.333321766550175e-5,1.0981404495703122e-5,-3.609825959390157e-5,-3.951349686498697e-5,2.2149425080069073e-5,-4.920226124347987e-5,-2.4449491206391e-4,1.1103087994912217e-4,1.9513588484198243e-4,2.550621810880629e-5,-3.6201611809753918e-6,4.772424018070393e-8,6.0365138066490765e-5,4.226459860332731e-5,6.264764837308116e-5,7.715572918271475e-6,-3.537227651138256e-5,2.2187800149634576e-6,1.2621354550668743e-5,-2.2640397393943842e-5,-2.533779791880723e-5,1.2173393969403469e-5,5.605124134115872e-5,-1.551939928183542e-6,7.600967869043693e-6,-5.766447461008584e-6,4.673638520761446e-6,-1.3931382992765492e-5,1.5375782689996107e-6,4.638391281493899e-6,-9.708524102312607e-5,-0.0019828786264810172,2.2742216781271638e-5,6.270823295222986e-4,-3.5907259474760863e-4,4.6895640641642983e-5
7.673054638027932e-5,7.540857635934346e-5,4.636499156742148e-5,3.922918456990815e-5,3.7911874801205776e-5,4.525705219504171e-5,3.68237521213138e-5,4.5369427679203676e-5,4.057598338122343e-5,3.551916059282518e-5,3.431147591451676e-5,3.7520357616517305e-5,3.850377443224824e-5,4.023404017209686e-5,-1.2125361940589269e-6,9.808978099362567e-8,-3.9881324461494166e-10,-3.8394463355672416e-7,-2.3313161337724428e-7,-2.6741949229386452e-6,2.1058657435868638e-6,4.4315287983758584e-7,7.677379454813327e-7,-2.6157757908971566e-6,3.1221688581256254e-6,-4.8679778955322795e-6,3.1300423889067556e-7,7.920452434503595e-7,-1.2440238914974943e-8,1.2707702112087746e-8,2.722628976815386e-7,6.272321897453016e-7,-1.2095044324371546e-6,-4.511499770237473e-7,-3.3443295811019206e-8,8.994900142133673e-7,-1.823579947495222e-5,3.220754782055297e-6,-1.1902442357676483e-6,-6.696990663307701e-6,6.425104564430285e-7
-1.338592681699274e-6,4.6364991567421404e-5,7.951574355069145e-5,6.0347482444642616e-5,6.033975377722287e-5,6.07940732267614e-5,5.831861654053906e-5,5.4266363524554424e-5,5.646630734316613e-5,5.260524249502505e-5,5.724231039345221e-5,6.469095376519277e-5,5.946488505755998e-5,6.0375249333341026e-5,-1.1843647433816673e-6,2.822103373821561e-7,-4.3741310429033855e-9,3.023123359023181e-7,-1.8152996196700922e-6,-4.358681382575688e-7,4.2461154392443437e-7,-2.0638491005257835e-8,-5.724762775248163e-7,-4.591967169372409e-6,1.124136621791485e-6,-5.540071441929247e-6,1.960622400217346e-7,-1.178731189394848e-6,3.3345027507554845e-8,-5.304686202577557e-7,6.272761822041534e-7,-2.4338990354750714e-7,-9.47067737337812e-7,6.308609637739824e-7,-3.498494120860057e-7,1.2418943795517776e-6,-1.1093302820799108e-5,2.0758641036965705e-6,1.017604043948793e-5,1.3810187714089183e-5,1.1372388971966561e-7
-1.5290934521970212e-4,3.922918456990811e-5,6.0347482444642616e-5,9.857603391894571e-5,8.082974673593504e-5,7.452844563597672e-5,7.03489281920366e-5,6.870426770722973e-5,7.05562923444776e-5,6.406260473805817e-5,6.398468884438465e-5,5.182738228391656e-5,6.070664324808723e-5,6.17533638133976e-5,-5.44590339437742e-7,2.2128178217660135e-7,-4.135360513826235e-9,1.1430509982106497e-6,-1.3662158628848454e-6,5.607152793396192e-7,1.6037912190291051e-6,7.650992892105476e-7,6.671554774320535e-7,-3.615437883605466e-6,-3.7178545910291383e-7,-4.68093591824793e-6,-1.738402814411027e-6,-2.4753318821456012e-6,1.1287113082576743e-7,-3.624789759296853e-8,1.1321256635823912e-6,1.841232402279447e-7,-1.8596706774170163e-6,1.2462628097665541e-6,3.531764653335423e-7,1.8505410032219015e-6,-1.2591901174275907e-5,-3.6050129173266006e-6,-1.2568884183268565e-5,1.1422029254686657e-5,1.5717804080765205e-7
-1.7804502398739374e-4,3.791187480120587e-5,6.033975377722306e-5,8.082974673593522e-5,1.0163589947403501e-4,7.943029987899699e-5,7.806659106121787e-5,7.78244919725449e-5,7.5032963679521025e-05,7.264809597809156e-5,7.074253567017381e-5,6.555988185993734e-5,6.842916882393844e-5,6.96670654035732e-5,6.026787509772557e-8,3.556503321825746e-9,-1.5709965005335784e-9,-1.594287140318877e-7,-1.1073523938785663e-6,2.2868037933466487e-7,-1.1134286585095212e-7,1.5111210341439849e-06,-8.903482463310234e-7,-1.8705362048037135e-6,-4.7164757413496375e-7,-6.006050908871996e-6,-1.896335729559387e-6,-2.9667002999405876e-6,1.1118558450478112e-7,-5.880362888277317e-8,8.613661411303887e-7,1.860597124765492e-7,-1.763045804175399e-6,8.183978270996045e-7,-3.071987116803483e-8,2.4086010347638974e-6,-7.4884970858343985e-6,-2.133334256929784e-6,-9.621741207583174e-6,2.09473942532553e-5,7.818872611280082e-8
-9.333321766549871e-5,4.525705219504191e-5,6.079407322676163e-5,7.45284456359769e-5,7.943029987899709e-5,9.660708976950164e-5,8.930483567457801e-5,9.050369736910125e-5,8.776825399213984e-5,7.620292160889968e-5,7.758968052050153e-5,7.503117841711398e-5,7.641112227362739e-5,7.70224783291354e-5,-9.749658577030533e-7,3.851062969695715e-8,-1.1972079391009628e-9,6.852216336303631e-7,-1.0491796636295164e-6,3.874027821915143e-7,7.397218998544968e-7,7.424652781000864e-8,1.2634378943001214e-7,-3.000403254285122e-6,1.3419223674563864e-6,-4.899571577733434e-6,-1.5229264484937909e-6,-1.8489340318148392e-6,6.353235022567377e-8,3.2709897759072645e-7,9.505129536804212e-7,-2.3540502368706364e-7,-1.0297921738077426e-6,8.887251970150314e-7,-1.3813138212311485e-7,1.6173625801779957e-6,-1.5145528723479157e-5,-1.1209532530021984e-6,-2.2790982704835124e-6,1.4041096585371642e-5,-1.5075870204570305e-7
1.098140449569119e-5,3.6823752121313834e-5,5.8318616540539095e-5,7.034892819203659e-5,7.806659106121772e-5,8.930483567457774e-5,1.1143176349206372e-4,9.975013462661885e-5,9.357698269975839e-5,8.524938231959831e-5,8.822101795830603e-5,7.283954545436691e-5,7.850513723485267e-5,8.751992730912994e-5,-1.1727488449977815e-6,2.7073647774120303e-8,-1.109159415333705e-9,1.410592336328815e-6,-7.482719221387698e-7,2.7879103127468626e-6,1.1093229442846026e-6,3.3648855101872133e-6,-6.800228748228261e-7,-3.952627857493804e-6,-3.9010884821065545e-7,-2.5866839892399725e-6,-9.5577663532365e-7,2.7389814673046177e-7,-1.289224142293292e-9,4.5829026179687764e-7,8.903303794299377e-7,5.682638909287744e-8,-1.1664418174049907e-6,1.2908664795542315e-6,-1.3582059247437425e-7,1.1784352374988455e-6,-3.0225951427069615e-5,-3.4024299219450718e-6,-7.315554740703115e-6,6.283647505676106e-6,4.0991716455813345e-7
-3.609825959388812e-5,4.536942767920339e-5,5.426636352455415e-5,6.87042677072294e-5,7.782449197254447e-5,9.050369736910072e-5,9.975013462661868e-5,1.1921352809303465e-4,1.0598288546229405e-4,9.999315117116328e-5,9.825466039197438e-5,8.579281125672343e-5,8.371012505935068e-5,9.108651191212269e-5,-1.1887543902896038e-6,-4.453412666782672e-9,-9.518504053612953e-10,1.8277568265736317e-7,-1.8886341163245568e-7,8.490025813953703e-7,-1.134358810281183e-6,1.5152479835100218e-6,-1.3914094161727591e-6,-4.208819663224148e-6,-1.1146246189020425e-6,-5.571021786772505e-6,-2.414982650618948e-7,-1.1080158402568993e-6,-1.3106752971918188e-8,5.91936079648077e-7,1.2261143060166154e-6,6.660012926134654e-7,-1.0481744885390134e-6,-1.6491623969987798e-7,-3.9666787717132993e-7,1.1849432107043267e-6,-1.8319678699714975e-5,-1.559234377601014e-6,1.7399409175951258e-7,7.309596647249036e-6,1.0606505791997024e-7
-3.9513496864968175e-5,4.05759833812236e-5,5.6466307343166506e-5,7.055629234447794e-5,7.50329636795212e-5,8.776825399213993e-5,9.357698269975887e-5,1.0598288546229461e-4,1.2320958103858172e-4,1.0829716668682917e-4,1.033698268725163e-4,8.915233125262012e-5,9.155160323089746e-5,9.855913335185625e-5,-2.638892181489496e-7,-1.1280617850666327e-7,-2.41886283652764e-12,7.180426969574145e-7,-3.5899366906299705e-7,-5.409772207859951e-7,3.1258789885708825e-7,1.2473641634167582e-6,5.853804573771e-7,-4.7174816144279055e-6,6.171261430050016e-7,-1.687177300597305e-6,-4.7514517405807044e-7,-1.2866030560640592e-6,2.2560108211477438e-8,1.4315696722829804e-7,2.0040521272757745e-6,8.55741726034057e-7,-1.2681697157215278e-6,1.9210920375872496e-7,-1.7071377393831557e-7,1.455706813098554e-6,-2.8848450328612757e-5,-1.1077385587322141e-6,6.649223499825786e-6,2.9052894534887826e-6,1.850737769283608e-7
2.2149425080072467e-5,3.551916059282523e-5,5.260524249502514e-5,6.406260473805821e-5,7.264809597809144e-5,7.620292160889948e-5,8.524938231959857e-5,9.999315117116356e-5,1.0829716668682886e-4,1.2343048537125667e-4,1.1382521149052225e-4,9.844300644151814e-5,9.755538845156902e-5,1.0421726612726288e-4,-7.225258432172205e-7,-5.560562450125427e-8,-1.37782021571808e-9,8.878635234637956e-7,-7.238509619676822e-8,-5.735694375715716e-7,-1.5713584545071503e-6,6.568965748732585e-7,1.132010301293245e-6,-5.8429937673300105e-6,-1.7104880997743934e-6,-1.3566220164873674e-6,5.782635395022879e-7,-2.752701560139325e-6,1.1395248786065676e-7,7.262404518664012e-8,2.2594824489758857e-6,6.731266678405043e-7,-1.4148948517321243e-6,-1.8679352976246478e-8,-1.708674816598339e-7,1.2377517577732765e-6,-2.875735926389105e-5,-2.661308683160833e-6,1.8286067101095616e-5,4.9386790941588725e-6,-4.568577732373998e-8
