(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.14555671383008748,-0.0018243701157803537,-0.0013138753661541336,-3.344240315798068e-4,-8.887117079538738e-4,2.5231181340723324e-4,-5.618105746459047e-4,-1.3165972802782214e-4,1.5365966874218413e-4,3.725624041627106e-4,-6.281885026638986e-4,1.1818532370589197e-4,1.9950661647254124e-4,7.683469369129105e-4,1.2915936960279e-4,-2.1748537118655057e-5,2.5133326767011636e-7,2.2362722558330012e-4,2.7973553011513287e-4,3.255273651141148e-4,3.767137267943913e-4,-5.942482567816566e-5,-1.821706692343403e-4,4.9020778199889655e-5,2.751858764416319e-4,5.292508318646941e-4,-5.353548963600239e-6,3.96060905086768e-4,-1.3379903731827285e-5,8.15864975548306e-5,9.969608527981744e-6,-7.438796563731875e-5,-6.907640988421858e-5,3.149764639535007e-5,6.414592141887629e-5,-7.304855067974502e-4,-0.00922361896006278,3.116400475735041e-4,0.0039520961417934515,8.743513337297591e-4,8.590019539384855e-5
-0.0018243701157802654,6.165541217027414e-4,4.1481574389661734e-4,3.6443315772739744e-4,3.569960516284845e-4,3.5249399487801076e-4,2.99205722980893e-4,3.197654331450827e-4,3.302658350376078e-4,3.724509020721468e-4,3.2385318934776e-4,3.037347875441079e-4,3.8093537815696397e-4,3.721104700837457e-4,-1.1762168885041059e-5,-3.284403459000062e-7,2.8191801581766235e-9,-4.316244438779963e-6,-6.499629072895263e-6,1.929849172305552e-6,1.7400800853586034e-6,1.7867280404781222e-5,9.188418839840846e-6,1.4089630630039588e-5,4.724323375683079e-6,-3.682192228762734e-5,1.3479285582270947e-6,-3.8177031748103994e-5,1.0120504451180793e-6,5.465416598228841e-7,1.562124815482743e-6,7.661812637711714e-6,-8.79421576005384e-6,-4.107487924740593e-6,-1.6239348804804129e-6,1.6270386664324126e-5,5.654099167740897e-5,6.737913799333004e-6,-1.158222485703617e-4,7.883900860280163e-5,2.3233169191885766e-6
-0.0013138753661541013,4.1481574389662043e-4,6.986370609684494e-4,5.241245920775209e-4,4.6113664885184846e-4,4.4840799299373184e-4,4.6435474981019434e-4,4.7549008500270465e-4,4.501433248766936e-4,4.663824312296189e-4,4.4414309257706985e-4,4.099095253029051e-4,4.6292913506970645e-4,4.6252990268900887e-4,-1.8453920732240973e-5,1.5800016087932836e-7,-6.380439459473037e-9,6.785893088765288e-6,1.2991766352473894e-5,5.89832913790349e-6,3.764583491587325e-6,2.122441115752439e-5,-5.165166173501387e-6,3.0348973231508422e-5,7.541842974756056e-7,-4.393332936849854e-5,1.0517733264057332e-5,-4.460273271854383e-5,1.2720774286989264e-6,-2.9157433831396957e-7,2.5509307350916166e-6,-8.788599658381314e-7,-4.380126673816786e-6,-1.4931228687107238e-6,-1.448042643067756e-6,1.1052216134265428e-5,7.28977201009796e-5,-7.727084256105264e-8,-6.29886664594797e-5,5.775445548278731e-5,-4.671628016394594e-7
-3.344240315797752e-4,3.644331577273984e-4,5.24124592077518e-4,7.917529451776373e-4,6.145202231546602e-4,5.655364578586492e-4,5.383333372625248e-4,5.469685818779915e-4,5.377482096331557e-4,5.294772392747571e-4,5.363251748363588e-4,4.489678601911784e-4,5.218027180789575e-4,6.095342574101568e-4,-2.626296877039229e-5,2.0569588573848775e-6,-1.8145497515907093e-8,-1.1240090950094898e-6,-1.2980078844375364e-5,1.0882612484029689e-5,1.278550051716615e-5,8.541604476058316e-6,-1.128681414251633e-5,3.430945877866654e-5,6.120320126267793e-7,-1.800101842345661e-5,2.011111292786264e-6,-2.6110374711797912e-5,7.766908618869655e-7,3.6319006913777856e-6,1.0364766652481337e-6,-2.2294578957759566e-6,-9.440811186958359e-6,5.188195985401722e-7,-1.3753979052442584e-6,9.991556057186351e-6,-2.368466824097573e-5,-4.342160249112482e-5,-1.411581795609564e-4,9.895681675414167e-5,1.49348555216469e-6
-8.887117079538756e-4,3.569960516284854e-4,4.611366488518462e-4,6.145202231546601e-4,6.746114811914997e-4,5.621763125406876e-4,5.160506326601385e-4,4.979381158008433e-4,4.905226819195454e-4,4.885790363291832e-4,4.922795165333061e-4,4.4848404009518935e-4,4.821156668799064e-4,5.645498793798944e-4,-2.466557707503754e-5,1.4759341629421412e-6,-1.1057049184988219e-8,-2.814714117136725e-6,-6.633206878032114e-6,6.3235825188105565e-6,1.767954590014518e-5,2.3395254768615376e-5,-1.890096108684638e-6,2.7789686441940688e-5,3.843532959815561e-6,-2.3790317939720644e-5,8.41647881670699e-6,-1.7199339694258585e-5,4.2322617394928867e-7,3.5085055396180073e-6,2.615466004438593e-7,-2.088438400055713e-6,-6.075159340318741e-6,1.128771335798551e-6,-3.0134382208217227e-6,1.3566193804023275e-5,-1.7554301846137022e-5,-2.864303375545351e-5,-1.0281527485062827e-4,1.2646426693206037e-4,-3.905669225947716e-8
2.523118134072297e-4,3.524939948780117e-4,4.4840799299372973e-4,5.6553645785865e-4,5.62176312540688e-4,7.636552462836375e-4,6.583852299590044e-4,6.555638784362889e-4,6.369182084161469e-4,6.553092806735998e-4,6.688701757627959e-4,5.587295362503966e-4,6.391703564310478e-4,6.137322780964831e-4,-2.048586500654212e-5,-2.1664179799581814e-7,-1.3900520724448023e-9,9.074925816935656e-6,5.01135630651789e-6,2.5489630556947733e-5,1.7642997673264994e-5,2.2948133738987154e-5,2.8717118145224455e-6,2.4714360506406754e-5,-1.2107034257438745e-5,-2.8813356985332798e-5,1.6683385657759663e-5,-2.462387430275419e-5,6.136167898435673e-7,1.6418173048291008e-6,3.822799420428257e-6,-9.134665786672171e-7,-7.450092875745652e-6,-3.2171722141627126e-6,-2.5194231321990447e-6,9.452077992439914e-6,-9.963816547253525e-5,-1.1012649443108652e-5,-4.753523408602997e-5,8.148778947323462e-5,3.1663974983481563e-6
-5.618105746459004e-4,2.992057229808942e-4,4.643547498101928e-4,5.383333372625256e-4,5.160506326601393e-4,6.583852299590051e-4,8.103981876715412e-4,7.197543627746907e-4,6.676630570439398e-4,6.746146297341014e-4,7.075211502136138e-4,5.309084297730599e-4,6.165222449669397e-4,5.810574099324834e-4,-2.869059917234361e-5,1.3230646571797455e-7,-8.132048798267525e-9,1.0208646229562597e-5,2.165619405949289e-6,3.2265188606888384e-5,6.426194399600789e-6,2.0991478340292475e-5,-2.6111689379298647e-6,6.993881877377254e-6,2.401231780359677e-7,-2.3795767776419554e-5,1.0520235765766101e-5,-2.4459442319215486e-5,4.65527202231308e-7,1.2789449980721993e-6,2.8853745435259317e-6,-5.009848247447998e-6,8.927568330962949e-7,1.3315579292318675e-6,-2.0488718696934105e-7,1.776357673512784e-5,-1.6765997179626056e-4,-2.6005063221266566e-5,-1.4309050106223258e-5,6.108364614807038e-5,1.5094806491079672e-6
-1.3165972802775932e-4,3.197654331450819e-4,4.754900850027009e-4,5.469685818779912e-4,4.979381158008432e-4,6.55563878436289e-4,7.197543627746901e-4,8.040684551048234e-4,7.412951452357556e-4,7.415135081861943e-4,7.630368039752993e-4,5.993419802111398e-4,7.029778377399087e-4,6.821386087770938e-4,-2.1329864202232195e-5,8.696546113174524e-7,-1.523675605456515e-8,4.435386600506165e-6,-6.5548875109282265e-6,2.4903474484289013e-5,-3.6866986216097263e-6,1.6898902952925314e-5,3.152683432216253e-7,8.942446654385146e-6,2.1662802577128318e-6,-2.2531284478291464e-5,6.102935447250787e-6,-2.2816389031858306e-5,5.153017525168144e-7,2.2974781863884386e-6,4.243028452700435e-6,-6.714533572044625e-7,-1.2635020688881928e-6,-1.8962015012743137e-6,-1.0893973130314361e-6,1.4062683539450278e-5,-1.8377139912780137e-4,-1.4661596105499681e-5,2.065260960674456e-5,8.642280639255765e-5,1.0891752873175716e-6
1.536596687421452e-4,3.302658350376067e-4,4.501433248766897e-4,5.377482096331545e-4,4.905226819195443e-4,6.369182084161469e-4,6.67663057043938e-4,7.412951452357542e-4,8.890810637254043e-4,8.765958759779007e-4,8.44775297560722e-4,6.354223071233492e-4,7.987349217738464e-4,7.51415655396313e-4,-6.4065755678373e-6,-1.943023533765306e-6,6.355669703968811e-9,7.14037324956835e-6,6.533743997752192e-6,2.9591063286114212e-5,4.277054348107764e-6,1.8952774370374685e-5,-1.5543889648946674e-6,3.0546234193252245e-6,1.0331647117694789e-5,-1.8816498126771064e-5,2.2347877054272654e-5,-2.415662573279293e-5,1.9679865747819704e-7,-4.833767525033444e-7,9.299575878262891e-6,3.5541829769927915e-6,-3.4163846486067604e-6,-3.380570454444864e-6,9.296219029257023e-7,1.2534928922347923e-5,-2.4075745644040888e-4,8.573298471134565e-7,1.772138079109245e-5,9.220167209668983e-5,2.3783489058983488e-6
3.725624041625423e-4,3.724509020721486e-4,4.6638243122961787e-4,5.294772392747585e-4,4.885790363291846e-4,6.553092806736007e-4,6.746146297341009e-4,7.415135081861938e-4,8.765958759779015e-4,0.0010453062290203994,9.663312266068601e-4,6.987829191641209e-4,8.82021114984206e-4,8.525239241226329e-4,-8.032476124099925e-7,-2.3801512788844843e-6,5.817508295243621e-9,1.3777811252577226e-5,1.4261283684734794e-5,3.8658690625318166e-5,4.46136476554524e-6,2.6098592761300378e-5,4.4423381166674914e-7,-2.483318492222046e-6,1.1725656720782124e-5,-1.8528191325361352e-5,2.1499577329386282e-5,-2.875706604704608e-5,2.803376777979802e-7,-2.020323752642899e-7,1.1535028065090598e-5,8.036160811403355e-6,-3.253503207053226e-6,-5.143112150596535e-6,5.228108906316366e-9,1.1337360006562625e-5,-2.9534887811955967e-4,5.327480348301261e-6,-1.0981712636429662e-5,9.945266750384405e-5,3.8287772085354705e-6
