(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
0.036302800876846994,-2.1493431262197305e-5,8.480242087933017e-5,1.276280858643353e-4,1.1103624324809396e-4,3.3477557355580993e-4,3.182347549533756e-4,2.372027545134293e-4,1.6104868134143572e-4,1.1450550821618745e-4,2.554373722284175e-4,-1.8793646146271923e-4,1.7047111157192455e-4,2.1608385207130918e-4,1.1056463564856967e-5,-6.749460067099237e-7,4.662670978638015e-8,1.0464518968812807e-5,1.9826748900731803e-5,9.289763704220928e-5,1.6578459482346138e-4,-3.648139700654661e-5,-1.563881755153746e-4,-3.207384986627722e-5,3.7516943778665e-5,4.544674229815515e-5,-1.34716803268231e-4,1.0017032759768597e-4,-4.294022255138634e-6,4.695453106018631e-5,-4.712650553839737e-5,-1.0962647471955417e-5,1.8121706594528532e-5,-9.13662159969747e-6,1.1154370453266657e-5,-8.625602887193427e-5,-0.0033919062839461818,1.4835846338591094e-6,0.0013055250113796206,4.809147244236603e-5,5.7652261096924446e-5
-2.1493431262199355e-5,6.211486893891902e-5,4.987370477070374e-5,5.657810285900878e-5,5.488455179280199e-5,5.114846138147998e-5,5.00743638871276e-5,5.348670510080762e-5,5.558177669819091e-5,5.6923186866753005e-5,6.192602604271395e-5,5.442793366776456e-5,5.173791411032625e-5,6.0899728763505116e-5,1.3093303991744009e-6,2.601238884507881e-7,-2.0233868565332414e-9,-2.4577677967172993e-6,-4.156664869310953e-6,-1.570807488145791e-6,-2.1752341661580606e-6,1.127505618640775e-6,4.6235357844413e-6,-9.945358720275975e-7,3.2091773282593764e-6,4.326159719324089e-7,-3.30711670691033e-6,4.935465540602024e-6,-2.0192319586592553e-7,-8.213490256135402e-7,1.1162866442561922e-6,6.101692503089567e-7,-1.5718532482974074e-6,-1.2018805530577924e-6,-2.685766952298086e-7,1.5507291564397297e-6,-4.1729302744010225e-6,-9.232278390734182e-7,-9.68473967181083e-6,2.706788294777394e-5,1.226883182717065e-7
8.480242087933116e-5,4.98737047707037e-5,8.242539122935726e-5,7.032044325587656e-5,7.080861160403576e-5,6.969867900614247e-5,6.722927545338662e-5,7.246968476351251e-5,7.379717264092697e-5,7.266767494681685e-5,7.271790788060373e-5,6.224968567140772e-5,5.971962632931077e-5,7.196772016504972e-5,2.7795613682942847e-6,-2.0653649137278057e-7,1.8753101985289026e-9,-9.956239981028415e-7,-3.1692869630268223e-6,1.1630281622409305e-6,5.9302886850335994e-8,2.1736478328304155e-6,5.764784349882416e-6,2.580987768378404e-6,6.0891856670952385e-06,-7.3373764457535386e-6,-4.3000410135218275e-8,6.360064980908961e-6,-2.9666524105380387e-7,-6.663735956673503e-7,9.897107033194436e-7,-1.578466877214596e-7,-1.385280388276733e-6,-1.707164579337981e-7,1.8616606646386953e-8,7.763081176577713e-7,-1.4706665254218008e-5,-7.756058553963282e-7,-1.365678475875029e-5,4.3157974399696746e-5,-1.0658413440828811e-7
1.276280858643268e-4,5.657810285900874e-5,7.032044325587657e-5,1.1045613724604836e-4,9.386846287402945e-5,9.457601057873676e-5,8.652758337490672e-5,9.177624666772204e-5,9.31465635789712e-5,9.00297096751703e-5,9.637732532695802e-5,7.73109903465529e-5,7.377445812644001e-5,9.177007496738107e-5,3.5397840179509634e-6,8.295192537608764e-8,-3.6563085976968357e-10,-1.841965325908376e-6,-3.728114463136174e-6,1.596224503316963e-6,8.429026985447746e-6,6.8566550745710275e-6,6.997036916629436e-6,3.5225825620589793e-6,1.4187590400323073e-6,-8.915563100520302e-6,3.6485553587672527e-7,5.904403607084954e-6,-3.7909258046075234e-7,-1.5002296700113296e-7,1.325778562871154e-6,-4.0269025608576456e-7,-1.160076705742669e-6,-4.202338165540378e-7,-1.290843472726507e-7,9.74821621066015e-7,-2.4561946102703475e-5,-3.371603337510377e-6,-1.5453108479725636e-5,4.78310579525923e-5,-1.0245141396026198e-7
1.1103624324809632e-4,5.488455179280205e-5,7.080861160403597e-5,9.386846287402958e-5,1.1229480729893614e-4,1.0349746756003214e-4,9.434287472565e-5,9.723845764693488e-5,9.43551187169549e-5,9.387649905516645e-5,1.0108304193524225e-4,8.473383590467892e-5,7.709082822295107e-5,9.637483632720695e-5,2.019792407284899e-6,4.276191545710726e-8,5.937532383960917e-10,-2.5241478760183405e-6,-2.2488010028934127e-6,2.836013456823714e-6,2.103331704207031e-6,6.217352261496103e-6,5.954977295561814e-6,4.532989564587594e-6,7.119160566565369e-7,-1.3007466312551187e-5,-1.246245064236274e-7,7.24621610248277e-6,-4.3639668327327575e-7,-5.010380095410642e-7,1.2032739419639428e-6,2.8225826507695627e-7,-1.1892227013280007e-6,-6.062645655525697e-7,-5.405980842694613e-7,1.6650500884602628e-6,-2.9090148837133937e-5,-2.3910151049876245e-6,-1.1636816517587e-6,3.106695910213035e-5,2.2022262136329497e-7
3.3477557355580056e-4,5.1148461381479814e-5,6.969867900614238e-5,9.457601057873661e-5,1.0349746756003189e-4,1.2912683635283494e-4,1.1007126658150272e-4,1.082238016128618e-4,1.0175902857720023e-4,9.963137381752589e-5,1.0754781512798692e-4,9.209532243813215e-5,8.283453148591227e-5,9.924102839720786e-5,2.5680902295470923e-6,2.3735047708686052e-8,5.745415900686606e-10,-2.1422469522215623e-6,-3.611414466437037e-6,2.965872154620145e-6,6.767279587351584e-6,5.402226996984747e-6,6.941748184597418e-6,5.957994189197424e-6,2.474925943353633e-7,-1.5128139282542204e-5,6.374805299540411e-8,6.617703829209175e-6,-4.2411602989742914e-7,6.912484129253962e-8,7.918624748271134e-7,-1.151104702112738e-7,-5.457630949760972e-7,-2.798333809303551e-7,-7.432591813069521e-7,2.1013068332316253e-7,-4.416767537966422e-5,-2.9781448022156046e-6,-1.1265048653212655e-5,3.765914634496828e-5,4.761564701285668e-7
3.1823475495339014e-4,5.007436388712757e-5,6.722927545338667e-5,8.652758337490672e-5,9.434287472565e-5,1.1007126658150296e-4,1.2202656922482923e-4,1.1174282939720142e-4,1.0535161410705361e-4,9.984839914501599e-5,1.092135003771313e-4,1.002698125093007e-4,9.026419871918393e-5,1.0243448994969785e-4,1.7070905201828537e-6,-1.8945266759184437e-7,1.8001336598005678e-9,-2.529571687847472e-6,-7.016613457655939e-6,-1.1127727622597843e-7,4.688911767211546e-6,4.315745475782682e-6,6.580470495336292e-6,5.447405161960004e-6,1.7387651216731517e-6,-1.2283557964278073e-5,1.7767797480077706e-6,3.838958120668582e-6,-2.8761331611050527e-7,2.779578684461015e-7,9.002956993531219e-7,-4.5380698245931726e-8,-6.548144565286776e-7,5.618422294111976e-8,-5.541935184041368e-7,7.26083951169851e-7,-5.025326685872524e-5,-1.8980592382032975e-6,7.574872979574182e-6,3.444253087692612e-5,1.8461582437985625e-8
2.3720275451341507e-4,5.348670510080768e-5,7.246968476351263e-5,9.177624666772216e-5,9.723845764693481e-5,1.0822380161286201e-4,1.1174282939720131e-4,1.2525769831437837e-4,1.1642793439380521e-4,1.1095797910631336e-4,1.2321466993152612e-4,1.1029134761843183e-4,1.0379554286386927e-4,1.1693963351337181e-4,1.902176638373921e-6,-1.0531394353867659e-7,7.985318824566173e-10,-1.9154667269757586e-6,-6.9110290612923024e-6,1.225878656985428e-6,3.7082970563743645e-6,6.324060775663014e-6,6.275937959002972e-6,4.022524946011925e-6,1.925966652767319e-6,-1.1383320077198826e-5,2.660038916298726e-7,3.818261098267843e-6,-2.6513981875143763e-7,1.8417927359297792e-7,1.596489518646513e-6,-1.546420935749828e-7,-1.103186906238216e-6,-3.228066115466905e-7,-4.2677361618720364e-7,9.154696574071394e-7,-3.917211990895972e-5,-2.655013968744007e-6,5.519836904756163e-6,4.8443715728213394e-5,-7.253169214397563e-7
1.6104868134143028e-4,5.558177669819089e-5,7.379717264092689e-5,9.314656357897115e-5,9.435511871695463e-5,1.0175902857720042e-4,1.053516141070532e-4,1.1642793439380508e-4,1.381394225251281e-4,1.2929567720511664e-4,1.3547065221742945e-4,1.2583070700262233e-4,1.1585522810655602e-4,1.3174362015004249e-4,3.3437329805746594e-6,-2.2134017508864334e-7,2.4962548677134895e-9,-2.4628139316483205e-6,-6.320820421747547e-6,-1.1727202229761344e-6,-6.466220451413591e-7,5.479911614916406e-6,7.771534730192226e-6,2.471968585711962e-6,4.524787662707831e-6,-9.82748598972916e-6,-1.642455730091495e-6,9.381009554318034e-7,-1.5518902686652428e-7,-4.884741541060364e-7,2.8815762496301944e-6,-7.646063145870554e-8,-1.625838756071631e-6,-6.13588493383359e-7,-1.939227142448835e-7,1.008506115555656e-6,-3.0039404928020596e-5,-2.192242455552788e-6,7.472989360405407e-6,4.2692734786800616e-5,-1.0148355950678737e-6
1.1450550821620201e-4,5.692318686675298e-5,7.266767494681683e-5,9.002970967517041e-5,9.387649905516641e-5,9.963137381752633e-5,9.984839914501588e-5,1.1095797910631358e-4,1.2929567720511707e-4,1.372319932559895e-4,1.3933796375729314e-4,1.252116569369124e-4,1.160548368335807e-4,1.3549704540849846e-4,3.9190710925467674e-6,-1.498159781222983e-7,1.4198866815593935e-9,-1.5444331812754328e-6,-3.507931219851245e-6,-9.552261511365695e-7,-8.563208883289075e-7,5.157771218560324e-6,6.766372047256453e-6,7.867277526374406e-7,4.788079942532983e-6,-9.750732777170224e-6,-1.5662774155148851e-6,-7.256915177480737e-8,-9.342123608764349e-8,-1.1506533487277996e-7,2.8680367494172185e-6,-1.2104229613485592e-7,-1.6598415460511133e-6,-5.880170110099202e-7,-1.5884146092607244e-7,7.717683090246737e-7,-2.441395170463716e-5,-2.233111533358746e-6,-2.0744112516128574e-6,5.339997208469116e-5,-1.1317995578137995e-6
