(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth
0.5150875111054535,-0.0030633223928875687,-0.0017806038573495667,-0.00717795209464966,-0.007870804854011305,-0.007853811292031145,-0.0018238184506617569,-0.00447207925144419,-3.7459659104752087e-4,0.0014879718836305193,-0.0011227010699830803,-0.0024549830345058097,5.2243041369076914e-5,0.0014335705257066606,0.002523767277539068,1.2062731260322801e-4,-9.05258520070866e-7,-5.578082541506522e-4,2.388099644723804e-4,-7.048846091644767e-4,-7.291522498303863e-4,-0.001125686658276681,-0.0013006873078160771,2.045074367305014e-5,-2.7179171229388486e-4,-2.955399676700979e-4,-8.312244530836458e-4,-0.0021440161449597867,3.505997045003622e-4,0.0023249366856042688,-2.701202584882302e-5,-0.00196133265738519,-0.0011422709741393702,-8.756766838873153e-4,-0.0010583516001287077,-2.998577628484357e-8,2.9854080019531444e-4,-1.5997934176377026e-4,-0.001064444033427938,4.999215642583641e-4,-3.6355174951873976e-4,3.133825054701733e-5,1.5373935014880352e-4,1.5021227160662523e-4,-0.0011913829362804058,4.640706170074767e-4,-5.82492646208442e-5,-2.784465425516556e-4,-0.0024115254665115996,1.0514890400633639e-5,-0.014825296167872926,-2.0721830920351236e-4
-0.00306332239288817,0.0014289595602258096,0.0011336656554001765,0.001167539580066574,0.001136167561300628,0.00126270222297152,0.0012040191340264462,0.0012041351330951194,0.0010675763519451076,0.0011250782815091656,0.0012209726216040656,0.0013369281252063818,0.0012818966821838951,0.0011976547932540146,-2.3868212867171158e-5,1.2016097355611115e-5,-1.0760920662221813e-7,-1.0800437635477065e-5,-1.178688258047673e-6,3.328381641809614e-5,-6.798898918067076e-5,1.8681762135406247e-5,-8.395171782275192e-5,3.341231532036524e-5,-1.0348060426517885e-5,2.233381579981444e-5,-1.3259662701573645e-5,-6.541243123748911e-5,9.589104608084057e-6,-4.650346647826974e-5,3.0120733113274657e-6,2.7183132715185545e-5,-4.5068061391443323e-5,-3.405861404137457e-5,2.412635714338685e-5,9.217700446275003e-8,2.0479645368622624e-6,8.325693942778182e-6,-1.3070103610838368e-5,-1.3802048604096985e-5,1.319337469179794e-5,5.078432933274811e-6,-8.518303270429518e-6,1.248877592383681e-5,-7.459172942604833e-6,-3.65882151476584e-6,-1.6046981972281465e-5,-7.741244934699919e-6,6.150270021146724e-5,-8.069752712102393e-6,-1.910764984618431e-4,-1.1736212180649042e-5
-0.0017806038573498523,0.001133665655400165,0.0026199166895814353,0.002035846927263754,0.0018755190851928716,0.0020384836709899817,0.002111397027334859,0.002077845595128259,0.002152793194466447,0.0022466827814367914,0.0020127080846302305,0.0020610635277823306,0.002004770010285713,0.001839693880055022,3.686359881774357e-5,1.4499364786657215e-5,-9.026100436269927e-8,-1.569531835392888e-5,-7.996073171072688e-5,4.231402179792297e-5,-9.369689517904744e-5,7.974070515935321e-5,-1.6061846858083398e-4,6.673843252813922e-5,1.362426277456726e-5,-5.3475941982185124e-5,-2.655580778422851e-5,-1.5518643237122024e-4,5.989514398229192e-5,-1.2275810076358973e-5,4.946260315367468e-5,1.7600097863847442e-5,-1.3893054726549258e-4,-7.586844886182209e-5,-1.1140462084956611e-4,1.4990439972034245e-6,-2.1626951624932788e-5,2.8498350269137778e-5,-5.571556560671724e-5,1.0056874956993227e-6,2.2326608173319488e-5,7.281307734482969e-6,-2.3519315175537422e-5,1.951463002634695e-5,-4.283591347118304e-5,1.9317649311473517e-5,-2.4845231130447643e-5,3.3017700476975814e-5,5.0546397969899135e-5,-1.6578508020755864e-5,-2.3202387997574376e-5,-4.4352235091353047e-5
-0.007177952094650097,0.0011675395800665703,0.0020358469272637636,0.002775392426801255,0.0022698945947664095,0.0023530640237892607,0.0021254439284556607,0.002099237845586307,0.0022196005129704434,0.0022708437980786785,0.002072712453867391,0.002211576179522486,0.0020630678021442694,0.0020594078385414967,-5.0428286307420594e-6,1.3935472271461087e-5,-1.0003109529730856e-7,3.0490840180673096e-5,-5.2650319099683396e-5,4.1461976983288786e-5,-6.189972115828723e-5,1.000073554868713e-4,-4.5219120183254755e-5,3.019596608041845e-5,1.4067325411832411e-5,-3.135783498102926e-5,1.182884637003923e-5,-5.493440152633861e-5,8.962594685735393e-5,-4.472953824619232e-5,5.440511994801761e-5,5.79378598677316e-5,2.52450841129679e-6,-1.0095300195167463e-5,-4.777978202669468e-5,2.178160846772228e-6,-2.582142427286895e-5,5.010312387816488e-5,-2.107082691605605e-5,5.047993830275008e-6,9.066957557130885e-6,3.735380769678098e-7,-1.1685357473668108e-5,1.912328977120545e-5,-3.2821105744630666e-5,2.23859077315695e-6,-1.5088171222757405e-5,-2.274245066481034e-7,9.734173422482016e-5,-6.737082459948149e-6,-2.6452182432259e-4,-1.1114786432454778e-4
-0.007870804854011927,0.0011361675613006238,0.0018755190851928807,0.002269894594766406,0.0030659956381424614,0.002635117713071536,0.002199257879353987,0.002167541723162472,0.0022010121387394444,0.002135613584380588,0.0019901462332015405,0.002138001594828862,0.0019106077533316633,0.0019723812339580067,-2.593690128379555e-5,-7.080092292895444e-6,7.086708703199792e-8,7.044797183522102e-5,1.976951772749775e-5,8.991947400294761e-5,2.400936968524212e-5,1.5138434302045664e-4,7.416232295495753e-5,-5.4315862596795365e-6,8.854050457112496e-5,-1.32288773593453e-5,1.6802651566652438e-5,-4.664219217834424e-5,1.2906439798955434e-4,-1.2060259807973005e-4,6.593062971139377e-5,7.98478868466248e-5,2.1200352635099046e-5,-1.0104531874816308e-5,3.879913205213181e-5,-1.3069386195087152e-6,-3.353303344604607e-5,3.4037966182323756e-5,-8.249492232358387e-6,1.916148427638964e-6,1.2896436838408821e-5,1.6333915138011514e-5,-1.056055481280487e-5,2.9899767568954258e-5,-1.6849542284174783e-5,1.9670111507610396e-6,-2.4602597194058198e-5,5.828309163224453e-6,9.374451554168554e-5,-1.2189495215675563e-5,-3.8682026876825414e-4,-6.363161614184811e-5
-0.007853811292031951,0.0012627022229715213,0.0020384836709899973,0.0023530640237892646,0.002635117713071542,0.0034126706461226524,0.002734067952659524,0.002634969362997451,0.002551816719329149,0.0025758597959234047,0.002469153394716636,0.0024605690900266312,0.0023840473634288936,0.0023622319407093063,-1.3126820881106187e-4,-5.652987357517724e-6,6.546072680053256e-8,-1.0238575670533506e-5,-6.576553644357759e-5,5.2396713220383073e-5,3.1192522278414455e-5,1.0781550679251697e-4,-1.7245904803399093e-5,6.842471550697643e-5,1.6889422121025628e-5,2.785770684498923e-5,-1.774314809846005e-5,-7.665502402089191e-5,7.646685014596133e-5,-1.5896823175035353e-4,5.293551862293691e-5,1.0649520889552226e-4,2.923282243213105e-5,1.3078455966714316e-5,1.5919667087296102e-5,-5.240269270391401e-7,-2.039352043041206e-5,2.868959941361336e-5,-3.068400535304593e-5,2.5233945258481186e-6,1.3386702501224027e-5,1.2160062338893208e-5,-1.8773496302566716e-5,2.792927886806466e-5,1.8032236421549035e-5,5.946687731762904e-6,-2.809602823576084e-5,1.9399756389455954e-5,9.734122898581104e-5,-2.5070063096358852e-5,-5.343030490552422e-4,-7.783282521824585e-5
-0.0018238184506624263,0.001204019134026446,0.0021113970273348684,0.002125443928455664,0.002199257879353989,0.002734067952659522,0.003185028216447311,0.0027069079330681632,0.0026750606168597767,0.002791027478491415,0.002608705099242127,0.0026639100786043373,0.002597068219673218,0.002545919627907752,-3.2443652156667916e-5,9.336649535287962e-6,-8.430788895301738e-8,-2.0685952374518183e-5,-8.019393464809001e-5,-1.624212231105053e-5,-7.535698937296522e-5,1.1390726686630596e-4,-1.3823884581310236e-4,4.8095323965865886e-5,3.24085631942107e-5,-2.1711682968117766e-5,-6.315362473958046e-5,-1.5403275874080013e-4,6.088630635585861e-5,-1.1187312690230441e-4,2.5629479524761805e-5,1.9630321977583057e-5,-1.0506827967234678e-4,-2.358731343338575e-5,-8.673510956684407e-5,1.156349299844139e-6,-1.7770853663990074e-5,2.610806745826177e-5,-6.0229934842175095e-5,1.4004951671828619e-5,8.335537662909965e-6,2.0016554910614068e-5,-2.638406235298708e-5,3.217925663925172e-5,5.163990456871809e-6,1.0696015057757769e-5,-3.8310232960633725e-5,1.9734067215317084e-5,7.132764953058839e-5,-1.9904969315063678e-5,-5.842232207165324e-4,-8.174446267504152e-5
-0.004472079251444643,0.001204135133095117,0.002077845595128267,0.0020992378455863088,0.002167541723162474,0.002634969362997449,0.0027069079330681632,0.0029816827660281704,0.002903487495672915,0.0029957594717790656,0.002795726990043146,0.0025310010557298896,0.0026332943941468024,0.0024974383189466133,-4.125314076186782e-5,5.068594856521723e-6,-4.826328092154116e-8,-5.447495991933997e-7,-4.319253698687407e-5,2.6586373309888453e-5,-4.479682453470477e-5,1.3134410933545717e-4,-1.0890908402880756e-4,2.5626238983311268e-5,3.522048097424123e-5,-1.625079603187959e-5,-1.8157243559282306e-5,-1.7406265293710537e-4,8.644460943708747e-5,-7.634814897503547e-5,2.8389038389796684e-5,4.0090411858315414e-5,-9.441321991057851e-5,1.4016561600823475e-5,-1.3787732078521616e-4,3.212942533057343e-6,-8.656636286124864e-6,3.116240047637394e-5,-5.604159006201706e-5,6.586019598439038e-7,2.5323596646456733e-5,7.098453626677437e-6,-2.550773287654498e-5,1.1747359698107731e-5,7.26259958239914e-6,6.440853779727426e-6,-3.1562024021934216e-5,2.5641546429058943e-5,7.055031786084136e-5,-2.0235652039484172e-5,-2.5666763917841633e-4,-8.794630173768014e-5
-3.7459659104777804e-4,0.001067576351945102,0.0021527931944664482,0.0022196005129704387,0.0022010121387394405,0.002551816719329142,0.002675060616859773,0.0029034874956729087,0.0035726260640787004,0.0034989370603864607,0.0032087791742442025,0.002960153940682188,0.0030684014389073724,0.002852523482125658,4.5428064096352926e-5,1.3327165799760651e-5,-8.540046384019392e-8,-4.358582525319432e-5,-8.667309546376778e-5,-4.6470516257981034e-5,-7.270004760114414e-5,5.861205482599534e-5,-1.7848857440559362e-4,4.137637331573669e-5,1.8972801379224157e-5,-1.779681666780961e-5,-2.2290686408656817e-5,-1.5976574549171973e-4,6.11099417070847e-5,-1.1201090005230696e-5,4.474944659474646e-5,5.076592347668444e-6,-1.0068631119306062e-4,-3.607038752528573e-5,-2.272147606492133e-4,6.111876636709007e-6,-1.602821547096681e-5,5.1528918816835636e-5,-6.902123240701009e-5,1.382810653009159e-5,1.993630616193694e-5,-3.0150515861965185e-6,-2.5268092231103776e-5,9.688706283045948e-6,-4.039704792845815e-5,6.6709389376265054e-6,-2.5990868417258484e-5,3.374446693420122e-5,5.740616337398269e-5,-1.9916634465884226e-5,-1.7112249161147622e-4,-1.242674035684657e-4
0.0014879718836301532,0.0011250782815091682,0.0022466827814368027,0.0022708437980786846,0.0021356135843805953,0.002575859795923408,0.0027910274784914207,0.002995759471779071,0.003498937060386468,0.003939929572255804,0.003559120961678769,0.003073344489719271,0.0032348406900564583,0.003024145061039652,3.557908755962048e-5,1.8532033352254276e-5,-1.5110808708881633e-7,-5.974258668018611e-5,-1.088916532811468e-4,-5.99924459543418e-5,-8.04071827176661e-5,9.08113577322328e-5,-1.610258023010187e-4,4.0876805518224754e-5,3.294937887405178e-5,-3.088190410400447e-5,-2.3223462453790425e-5,-0.00010627171070199184,1.0160346390742847e-4,-1.7110250536347762e-05,2.721342430248356e-5,-8.079429465232603e-6,-1.1271477734016806e-4,-8.891978629366783e-6,-2.8266775742460644e-4,6.963435940972762e-6,-1.863273958489555e-5,6.355466015997659e-5,-9.441425849898801e-5,1.5711788262690004e-5,1.9553421479488444e-5,1.1016577073470451e-8,-2.5738511245542987e-5,9.472500157655184e-6,-3.691663910780627e-5,9.66349746514049e-6,-2.5822855475564968e-5,4.396592226066783e-5,4.889712098149036e-5,-2.407585718917838e-5,-2.62254393019177e-4,-1.516475876610632e-4
