(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection,personal_income:government_effectiveness,government_effectiveness:relative_income,government_effectiveness:gdp,government_effectiveness:growth
0.7324260073661857,-0.0024198257694849424,-0.003380232303303654,-0.00979586306635259,-0.00903581155956163,-0.012674152101350445,-0.008339320202652293,-0.008011029165615328,-0.005367590090973915,-0.0019340555753339943,-0.004066246350790872,-0.0077294061218119185,-0.004584416872037743,-0.0021370686980869136,0.0024769413594626748,5.744711187626813e-7,2.080143753994553e-7,5.565659261709507e-5,0.0019379990868979079,9.439552865537189e-4,9.933993318737375e-5,-0.0022645281809159186,-3.2814780185781755e-4,-7.321457628692989e-4,1.2395090685888446e-4,-0.0012245314281604774,-5.026248230803014e-4,-0.002252508081207836,9.487081769410902e-4,0.0021938399962976576,2.841504732054079e-4,-0.0017323431571085164,6.95999332923928e-4,-4.920895309913427e-4,-0.0012021903151526786,-3.065571947227423e-5,3.494597379260965e-4,-4.1676801335707714e-4,-0.0014039684179835332,1.2356164951346588e-4,-3.386595208981589e-4,1.6726666669262166e-4,3.2008712008610234e-4,9.283200664179158e-5,-0.0016497182312830544,6.46759124286246e-4,3.1975986040443913e-4,-4.920861779566794e-6,-0.0027496648065329196,1.072652544568485e-4,-0.03176726240355698,8.065637806040245e-4,0.1038669274960542,-8.546634801705307e-4,4.6009148761756957e-4,-0.0018223030754802548,4.58909449227265e-5,-0.0077831180654327784,-4.111312443612693e-4
-0.0024198257694851796,0.001400818579438419,0.0011242100531042856,0.0011485030939941793,0.0011416626427439081,0.001298848931224622,0.001237334251641913,0.0011876177361085719,0.001042574906418479,0.0010742014621574793,0.0012111456061493693,0.001314783625311045,0.0012525413059943902,0.0012303903462505727,-3.002706147685725e-5,1.1346647566336994e-5,-9.481599373925369e-8,-2.5762925850574664e-6,-6.9115764841630435e-6,2.2126952901412034e-5,-5.206541002213382e-5,-1.1021360890182115e-5,-8.526015196146592e-5,4.506710025583065e-5,6.94809756566201e-6,2.613738570177109e-5,-1.6323124134982552e-5,-5.0314465606859566e-5,4.870558406136041e-6,-5.9853062054121225e-5,3.2169682907037567e-6,3.172931208098207e-5,-5.131285804705683e-5,-3.7245479935929716e-5,1.4409543792588296e-5,6.215893216769393e-7,1.3857992247516906e-6,9.441992862583475e-6,-2.361436617733679e-6,-1.3031644319542078e-5,1.3975599130900922e-5,7.182744475675666e-6,-1.0431966383524809e-5,6.887007603247998e-6,-4.525619164856912e-6,-4.3935647547202215e-6,-2.0704989515683896e-5,-7.456348373121984e-6,5.5925519100827e-5,-9.418715581324107e-6,-2.900003945854339e-4,-1.0800527490696728e-5,-0.0011238943402402072,-9.355436161586805e-6,8.05079842272269e-6,1.956290631858174e-5,-1.135361803345182e-6,9.249799563000175e-5,-1.3299670347205143e-5
-0.0033802323033039453,0.001124210053104291,0.0025696155630163353,0.001950121849395028,0.0018075524081064358,0.0020886883697030954,0.002060854151882304,0.0020094482405610802,0.0020837964976481004,0.0021022223526975573,0.0019422937941585617,0.0020718041644028355,0.001995920258915795,0.0018387758439906844,-8.733912747302293e-6,7.288758588461553e-6,-1.2742436783294592e-8,2.2070311289306598e-5,-7.884763105582134e-5,3.338305028597062e-5,-3.1216082145484324e-5,6.638088205859898e-5,-1.0826741587580513e-4,7.405640108745938e-5,3.3830322337945784e-5,-5.9038562255151074e-5,-2.0728308990759637e-5,-1.2455132610455285e-4,8.420121256708273e-5,-5.6160043523614825e-5,8.085215023570862e-5,4.226767848489971e-5,-8.732019553835142e-5,-3.467030399449154e-5,-9.906358379410759e-5,1.7360539985559708e-6,-2.545822918980328e-5,2.937404467501467e-5,-2.5117556929601137e-5,-7.675877572183923e-6,2.4535774241688236e-5,-2.9910398150758165e-7,-3.576239119918637e-5,1.170608279151931e-5,-3.226343435910292e-5,1.7676821904273046e-5,-2.6775367197741492e-5,3.235285492829116e-5,5.048739520049269e-5,-2.029721804981252e-5,-1.6667003626932733e-5,-5.007441501345596e-6,-0.0012964518410754275,-6.230675141622817e-4,1.641673937220131e-5,5.336281225259823e-5,-1.4845716327992539e-6,1.4180366802402387e-4,-2.974319520260716e-5
-0.00979586306635294,0.0011485030939941809,0.0019501218493950265,0.0028260398779113836,0.002370036073584079,0.0025166473482363884,0.002219071598740612,0.002151492226441602,0.002283906546863702,0.002190497721514201,0.002077677779352237,0.002184484888192779,0.002055679837247326,0.002147297398569351,-3.828201054374149e-5,6.415139673249791e-6,-5.405085741077083e-9,4.6651155332519075e-5,-5.6223037468285304e-5,2.557163995702537e-5,-2.0167842959767305e-5,8.919234282696531e-5,8.749005944315198e-7,3.711410177039844e-5,4.00006607525276e-5,-4.917613890720361e-5,1.5400733172274494e-5,-1.1873364911545913e-5,1.0551763167123179e-4,-8.607436835468552e-5,6.36468859024735e-5,7.791062523639132e-5,5.443806615758724e-5,1.86703662954026e-5,-4.2917886685049964e-5,2.4727456994004953e-6,-3.218951281664286e-5,5.221732322212306e-5,2.2818856990266102e-5,-4.3027073361554244e-6,1.0775562163377231e-5,-1.9795872869663277e-7,-2.020713036106121e-5,1.3647395473719676e-5,-1.744733458501795e-5,3.617819112970578e-6,-2.078787280909731e-5,5.8745465648494065e-6,1.0527747007877067e-4,-7.898451670873042e-6,-5.673700478232394e-4,-1.0318092407545117e-4,-0.0025136510803240373,-6.506325261589205e-4,2.6194517666145288e-5,1.0697664956539527e-4,-3.0406043172612305e-6,2.0421583097207608e-4,-6.496966465563758e-5
-0.009035811559562207,0.0011416626427439105,0.0018075524081064337,0.002370036073584082,0.0031914868969528006,0.0027386593546450282,0.002347509294631527,0.0022683803571669206,0.002348330534261839,0.0021638826745017585,0.0020761094130289635,0.0022453889255226143,0.00200432546169734,0.0021735651863455763,-5.8948359566957506e-5,-1.6258081420936985e-5,1.7933874530771629e-07,1.0804318971800217e-4,3.37300203440663e-5,5.861500418900178e-5,6.446367732862682e-5,1.4384784770656625e-4,1.0724047758874048e-4,-1.4278595379658704e-5,1.156958024321754e-4,-2.1693914301507538e-5,2.9512063656281528e-5,1.905923019499573e-5,1.351648890488078e-4,-1.6616083373199354e-4,8.091478451918874e-5,9.654374261535475e-5,6.769806555064433e-5,1.588443579199074e-5,1.960191175223704e-5,-1.3134816487869338e-7,-3.8111398210322716e-5,3.8301746943962206e-5,2.8228964821556997e-5,-1.3583496854898359e-6,1.0341204168818689e-5,1.3723153626910603e-5,-1.6078632189950726e-5,2.144821565153816e-5,-7.112735815792231e-6,-1.194885742602738e-6,-2.7517968575159683e-5,1.1754739522341623e-5,1.0661503904769042e-4,-1.8067903001673227e-5,-6.640073810452635e-4,-7.196535684056997e-5,-6.171275576505787e-4,-5.868412948314027e-4,1.7039264893459825e-5,-3.02911095470637e-7,-1.3169778799886447e-6,1.237623304220128e-4,-7.202653084182426e-5
-0.01267415210135081,0.0012988489312246237,0.002088688369703089,0.00251664734823639,0.0027386593546450287,0.0036441846402700687,0.002947875589895485,0.002818886514416806,0.0027251086545792298,0.002660945000505171,0.002640293515852595,0.002665689498538132,0.002537208040421657,0.002622694275158998,-1.875524337733918e-4,-1.19273415692519e-5,1.487827402743283e-7,1.0531736900095233e-5,-7.953306840352983e-5,4.3576051203091135e-5,6.837280852454036e-5,7.801170237419983e-5,-1.7628158939835127e-5,7.645211339179088e-5,4.301499313097284e-5,2.2969700041545714e-5,-1.2496340354467558e-5,-2.300746723970609e-5,7.266521960397275e-5,-2.1714858545661002e-4,6.187422324482334e-5,1.310102128400694e-4,6.607497719861257e-5,4.598369670027545e-5,1.547443223329558e-5,-2.8196971507330086e-7,-2.587725842536628e-5,3.338183179704652e-5,-2.88000200675463e-6,-6.96939435272645e-7,2.09596635348694e-5,8.505801692103396e-6,-2.827237378417259e-5,1.921740777963872e-5,3.109741308896121e-5,-7.073375369399572e-7,-2.994328432897901e-5,2.4349104867305947e-5,1.1358139116549661e-4,-3.182375940606264e-5,-4.6597244737629296e-4,-6.764519817093911e-5,-0.0027668496361939773,-8.624294877193963e-4,1.6753140582712145e-5,5.044918871170853e-5,-1.2679768767880824e-6,2.9770063811809696e-4,-8.453405021161197e-5
-0.008339320202652902,0.001237334251641915,0.002060854151882296,0.0022190715987406105,0.002347509294631526,0.0029478755898954823,0.0034218512209915363,0.002842759200863829,0.0027287668052443418,0.0027418544606598026,0.002675972319771628,0.002809148368397608,0.00266885056532823,0.002753392902664665,-9.393971112760657e-5,-2.3124771617141608e-7,1.8611769601616815e-8,2.2523910492915547e-5,-7.704778276855051e-5,-1.0426956891883711e-5,-6.4840240633659545e-6,1.0049979852856078e-4,-6.576703116935058e-5,5.2022183118336125e-5,6.78073456169543e-5,-5.0821513124144405e-5,-6.923907960411764e-5,-9.270174950111463e-5,9.689736136989293e-5,-1.8842853112293917e-4,4.7456409554452724e-5,5.445768967941357e-5,-3.997920681871246e-5,2.2928604106762605e-5,-1.1847164500441575e-5,-1.1443346985063733e-6,-2.328359268950341e-5,2.887101397453995e-5,-1.973785907029081e-5,1.0269867088608965e-5,1.0081670180605774e-5,1.7530891990684955e-5,-3.9665285804804614e-5,2.3677137708586664e-5,3.0449285581119675e-5,5.588964420432486e-6,-4.103567020554711e-5,1.9846871878894964e-5,8.773768901349408e-5,-2.811789194639951e-5,-4.7866706867560085e-4,-3.9125391240863344e-5,-0.0025057642972891236,-0.0010444125088126034,1.2536569419910868e-5,3.4276065599649284e-5,1.057961327423574e-6,2.9824979081071124e-4,-9.967821619566821e-5
-0.008011029165616336,0.0011876177361085695,0.0020094482405610715,0.0021514922264415947,0.002268380357166914,0.002818886514416799,0.002842759200863821,0.0030908587083640815,0.002978694196630975,0.002981166542682658,0.0028633754798789222,0.0025515533183700975,0.0026302087759057383,0.002677080240915766,-9.050125247388421e-5,-4.60708293443566e-6,6.628090434857646e-8,3.721856903953651e-5,-4.277634117802818e-5,3.403380308941521e-5,2.585285428099061e-5,1.0186754227630492e-4,-4.6535410087869486e-5,3.34204817853128e-5,6.137706491064043e-5,-4.76756529334342e-5,-2.9036814257828323e-5,-1.249891533629578e-4,1.1829782392336253e-4,-1.3100548130347874e-4,4.7283018246436223e-5,7.06193299074585e-5,-4.7812221347655275e-5,4.620979331892686e-5,-1.013502835834075e-4,1.7697575404522035e-6,-1.1869000951087434e-5,3.23498992856639e-5,-2.8424461300166307e-5,-1.2629055455627508e-6,2.5509907996491477e-5,6.460505636224127e-6,-3.6935948512661044e-05,7.362128154634929e-6,2.7837737854564443e-5,4.568016143827478e-6,-2.863752268726252e-5,3.311381280582153e-5,7.428991550914243e-5,-3.0684378753949434e-5,-3.3909225202729876e-4,-6.675802768434993e-5,-0.0028830442215624576,-0.0010361295277989057,1.8569677887297522e-5,8.771656118348605e-5,-1.0348480593838986e-6,2.858005621303323e-4,-1.0803167836189577e-4
-0.005367590090973858,0.0010425749064184792,0.0020837964976480926,0.002283906546863704,0.002348330534261839,0.0027251086545792324,0.0027287668052443444,0.00297869419663099,0.0037177336337033445,0.003487593395569458,0.003266515478853394,0.0029664574866151462,0.003042392760330132,0.0029621183477551135,1.5801381563072337e-5,3.904924226503752e-6,3.032315112568707e-8,-1.333808389176825e-5,-8.779437700001906e-5,-5.1866465352928475e-5,4.748546612559223e-6,2.6387917612626108e-5,-1.0693707156586807e-4,4.155880616119693e-5,4.628544225697142e-5,-5.823100963877873e-5,-2.7785829395115066e-5,-1.1154475701045095e-4,8.36576680500595e-5,-4.607052931142948e-5,7.49937258556921e-5,3.453929912188019e-5,-2.9210459169744622e-5,-6.532813880529517e-6,-1.798495120043165e-4,4.859523858926134e-6,-2.0596701679712053e-5,5.289398975238132e-5,-4.413940657962837e-5,1.2317503620458317e-5,1.306487455216475e-5,-6.161779032786332e-7,-3.6627125150851176e-5,7.334211117763946e-6,-2.7335447499940504e-5,3.546632729441342e-6,-2.009794760802956e-5,4.46272146784685e-5,6.404879561661054e-5,-2.7807326748299583e-5,-9.514906811382931e-5,-9.799974269573466e-5,-0.003842683657445342,-0.0011705367751165723,1.8852957510093605e-5,1.6949873675562872e-4,-3.3583550446508303e-6,3.174168812896607e-4,-1.0689008629750116e-4
-0.001934055575334921,0.001074201462157484,0.0021022223526975517,0.0021904977215142034,0.0021638826745017585,0.00266094500050517,0.0027418544606597995,0.0029811665426826652,0.0034875933955694533,0.0038101855956210757,0.003496534930141738,0.0029462401340940385,0.0030775477882265504,0.0030022893386731694,-1.5098035612486296e-5,6.34890043926097e-6,-1.1934607314744181e-8,-1.981351243342492e-5,-1.007147048159499e-4,-4.516138921921931e-5,1.7053071122452174e-5,6.915600286416995e-5,-6.122198321518746e-5,3.747260073537782e-5,7.716037618491637e-5,-7.740392019351816e-5,-2.3180231205557278e-5,-6.836135839761983e-5,1.468158796808851e-4,-8.644384440587346e-5,5.770429722733841e-5,3.5055414256187e-5,-1.0967024832134475e-5,4.533414705126871e-5,-2.223987126731164e-4,4.816693619404033e-6,-2.2822256114483604e-5,6.109296653363362e-5,-7.697753443675142e-5,8.949692218563003e-6,1.3800600583910173e-5,2.4327281557325465e-6,-3.604586987749639e-5,4.273641487285367e-6,-2.532360409149014e-5,1.1872981917544221e-5,-1.8421821283938262e-5,5.5687999262416875e-5,5.061893930757251e-5,-3.288930600944413e-5,-1.7375278929805655e-4,-1.0935975906851838e-4,-0.0023881245050934854,-0.0010805457649445097,1.6080488812933275e-5,1.4998851191831404e-4,-2.756353389600057e-6,1.9107153635133838e-4,-1.0548132308292017e-4
