(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,religiousyes (formally),religiousyes (practising),altruistic_behaviour,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection,gendermale:personal_income,religiousyes (formally):personal_income,religiousyes (practising):personal_income,education1:personal_income,altruistic_behaviour:personal_income,gendermale:relative_income,religiousyes (formally):relative_income,religiousyes (practising):relative_income,education1:relative_income,altruistic_behaviour:relative_income,gendermale:gdp,religiousyes (formally):gdp,religiousyes (practising):gdp,education1:gdp,altruistic_behaviour:gdp,gendermale:growth,religiousyes (formally):growth,religiousyes (practising):growth,education1:growth,altruistic_behaviour:growth
0.8603525364024139,-9.347404483516774e-4,-0.001974708809363892,-0.0077591596447405846,-0.008424739617212915,-0.0107467872808323,-0.0056831010432653786,-0.007032299342030208,-0.004101181986704063,-1.6940797329727188e-4,-0.003985853190627918,-0.003870572320641538,-3.235160308347415e-5,0.0019621134909106517,0.010347981273368896,-2.4377020904478023e-7,6.942138480297633e-7,-2.8555443940913173e-4,6.906891350133845e-4,-4.897602764265903e-4,-0.03250178247810786,-0.049442048269194336,-0.020101861492618067,9.172493208249196e-4,-0.0016209777046828364,-1.1023378504392902e-4,-8.202861391685152e-4,2.6717148598716714e-4,-0.001661725408061019,-3.655350786600894e-4,-0.0017386115798683096,7.740578333866858e-4,-0.019494343335659654,7.475730976726038e-4,-9.297026521307542e-4,0.0015135199097457295,1.9621806361771262e-4,0.0038008180794754653,-1.6035849824285776e-4,3.2591343802253637e-4,-4.205830447715356e-4,-0.0014702133692839016,1.0035007602392851e-4,-3.745854847360112e-4,1.5303228907224815e-4,2.683201791925833e-4,1.5607467599594612e-4,-0.0016262595587628146,5.877025894578632e-4,2.618872381732239e-4,-5.118848618162245e-6,-0.0029479436435157495,1.1116941498998697e-4,-0.04922088148593772,0.0021444240452970008,0.009372845343827258,0.0018578437337451168,8.470832194381958e-4,-3.676515806978812e-4,-0.0017637098445817902,-7.333252584287957e-4,-0.003532744909699771,-9.084594265804914e-4,7.100153825494377e-6,4.092662699907741e-6,-1.0355648955116875e-5,1.5667041032119732e-4,5.4270959029536524e-5,-5.555766859779913e-4,0.004610720776108827,0.0053066898542496995,0.0046528512570306714,0.002612675632819051,-3.590074977430506e-4,-6.212769689309298e-4,-4.084834573917202e-5,-4.6840930192121755e-4,-1.4943090058242058e-4
-9.347404483522317e-4,0.0015195176498825835,0.0012178797271040894,0.0011848951764483978,0.0011850726581869209,0.0013804233671044748,0.0012799094417643533,0.0012556217033414738,0.0011060120009191256,0.0011325018446421697,0.0013225190112782102,0.001464274198744405,0.0014456432872895256,0.0014116962321929414,-8.050635914032386e-4,1.6836251175057213e-5,-1.5770874218435451e-7,-1.7548028019854397e-5,4.4692579514768696e-6,2.51100162057853e-5,0.0017403645316082965,6.120226076676857e-4,4.1288506080280847e-4,-6.110680199664849e-5,-2.7040324885524034e-5,-9.637816740752304e-5,4.5593259618981765e-5,2.5532542687274263e-6,2.867269586029384e-5,-2.349192268080794e-5,-6.327504836049701e-5,-1.4880815510309107e-5,4.74563828521014e-4,-3.7268161579161535e-6,2.2706781428805248e-5,-4.433601231950154e-5,-4.9030445153844155e-5,-8.188327747811323e-5,5.073472090777139e-6,7.908882577574305e-6,6.708491839424484e-6,1.909282994544464e-6,-1.6045818318321088e-5,1.4066310640108316e-5,6.598273749694494e-6,-1.1454164719751765e-5,8.797868920886241e-6,-5.560625597471796e-6,-9.69488747363613e-6,-2.2301122375420926e-5,-1.3589528417770921e-5,6.325457464482263e-5,-7.23313737422999e-6,-5.070103398440025e-4,-2.8181686682984454e-5,-2.3346702137709956e-4,1.1165125059657441e-4,2.198230916677599e-5,2.1408491748907493e-5,5.067229815088252e-5,4.416019815984133e-5,2.0430502189876454e-5,1.6868484840731763e-5,-4.415472961055399e-8,-4.23326140530866e-6,-1.6308426273076746e-6,-1.1999364376023496e-6,-1.9511881437378313e-6,5.9719274921275275e-5,-1.9271044356946142e-4,-8.383831378656655e-5,-7.039907395718115e-5,-5.053819389949849e-5,1.551374426194186e-5,2.110258120154577e-5,8.505245002306338e-6,1.1897165761758821e-5,1.4281384674266279e-6
-0.0019747088093648845,0.001217879727104085,0.002689667363156075,0.001977501289252086,0.0018379265580177112,0.0021356774230452727,0.0020412694556379302,0.002024795006579327,0.0021220435484419447,0.0021617546263686905,0.0020089897377651615,0.0021706373697024566,0.0021328037479234293,0.0019488574014822316,5.85487571847451e-4,1.5948413101149158e-5,-1.2415421401331782e-7,3.9722316758395985e-5,-4.984837096984188e-5,7.537248572463194e-5,7.176140274338952e-4,2.0088648555470132e-4,6.263328038683297e-4,-2.9557234157210947e-5,4.0105456893258934e-5,-1.2148769362046384e-4,8.236188357062425e-5,1.897927612456161e-5,-4.727255425910948e-5,-2.219335527081182e-5,-1.4871764516344185e-4,6.201426486640831e-5,0.0012549818847133974,6.91613381067289e-5,2.6259346925590984e-5,-8.731139681646293e-5,-4.3016462936369865e-5,-2.4500899677396936e-4,7.312736888318561e-6,-1.7603012530858252e-5,2.760752062633652e-5,-1.8240171624944005e-5,-1.535552798258394e-5,2.594332560716253e-5,-3.427200148589758e-6,-3.7352563581510417e-5,9.074477295885378e-6,-3.479951134974971e-5,1.3914141624569408e-5,-2.574211571668978e-5,3.396171761565283e-5,5.5948912753595843e-5,-1.516634871588118e-5,-2.330932254472025e-4,-2.4174291858020335e-5,2.7962467916873977e-4,-4.297599696561808e-4,3.548430130455984e-5,3.455266721262226e-5,6.915196889222959e-5,-1.7068014920873934e-5,1.1823728993836474e-4,-1.4004842899665625e-6,-1.873842844769166e-6,-4.594254357267471e-6,-2.4087132305725102e-6,-1.2159373301633806e-6,2.1028600316726136e-7,-8.191280731777815e-5,-1.0691139316532897e-4,1.7571629293051698e-5,-2.4536330254610206e-4,-6.0690560996551984e-5,-2.3226742220771872e-6,2.8701994330304496e-6,1.2316081539489818e-5,4.578251881755938e-5,-2.0790415294539117e-5
-0.007759159644741888,0.001184895176448402,0.0019775012892520954,0.0027794931194358363,0.0023181437967003393,0.002442019418499224,0.0021260723248944105,0.0020698030221033125,0.002185647841261756,0.0021175816643667295,0.0020420148764050275,0.0021731583721418474,0.0020876663699010366,0.002117195690011497,-5.684870180678411e-4,1.4654208516812224e-5,-1.1842478649590515e-7,7.876574621194463e-5,-2.1373943039765662e-5,8.230533333808284e-5,7.554662335028093e-4,9.855233487510765e-4,5.835211279159682e-4,-2.6953296680960446e-5,7.425977510424483e-5,-1.8784823471380442e-5,2.901873022704212e-5,3.276619429629408e-5,-3.853442361087341e-5,1.21592865194989e-5,-9.531516176339992e-6,1.023074024079419e-4,0.001129697849639243,6.893767406823979e-5,4.1699295912928006e-5,8.134147993189513e-5,-1.7909996929842159e-6,-1.6065401727748547e-4,6.594058582178987e-6,-1.877546702723406e-5,4.500626866974031e-5,2.501344209415814e-5,-1.0552589967550753e-5,9.214458105400548e-6,-1.3914016956575092e-6,-1.8738108967558896e-5,1.0353946434245828e-5,-1.2464063198258284e-5,-2.8764090889303514e-6,-2.0660965293780423e-5,7.08236291044052e-6,1.0685540691316547e-4,-7.518592866988669e-7,-8.495064212614088e-4,-9.480291411747051e-5,8.027818929904801e-5,-6.263887836746936e-4,4.6891947842327794e-5,-3.10164706512857e-5,-6.45208796827754e-5,-7.805425714225876e-5,1.6717354605002324e-4,1.7853586149543023e-5,1.7664900465581164e-6,-2.2873788766051487e-7,1.4612803678360922e-6,-5.446704086498492e-6,-1.1803054994384544e-6,7.068515785669995e-5,-1.1949083738402467e-5,-2.8598568471930014e-5,-2.4850800562703203e-4,-6.796460326345289e-5,1.193206234062233e-5,-5.06207838964219e-6,-2.0299780037224947e-5,2.0927204959352212e-5,-3.6270914325530825e-5
-0.008424739617213774,0.0011850726581869207,0.0018379265580177166,0.0023181437967003346,0.0031637886863542107,0.0026852527901458432,0.002207717040533326,0.0021765516300627855,0.0021524303618893482,0.001956420366615983,0.001950687406182084,0.0022070012520434383,0.001955090427116921,0.0020829554808912062,-0.00120941583505607,-7.266169007777481e-6,6.019278513102189e-8,1.2066012008958397e-4,5.901302978172155e-5,1.1596511491391116e-4,5.81052591275867e-4,0.0010930004576297679,8.085185045195268e-4,6.845993338029764e-5,1.1987875873295031e-4,9.274289346472992e-5,-1.940237609522015e-5,9.377354264548135e-5,2.0053597828423598e-6,2.276024021989818e-5,-7.68193401413683e-6,1.1385840488809676e-4,5.621739093804017e-4,7.863172565761988e-5,7.761635616632764e-5,8.78296128177885e-5,7.468512085231572e-6,-5.9258184670166644e-05,2.6416682190167324e-6,-2.7743882313246727e-5,3.106975711245458e-5,3.6557186343997696e-5,-1.3945818351828769e-5,1.0631634096769052e-5,1.5953003075778037e-5,-1.4017602746601697e-5,2.0343011889508355e-5,-3.345572997708826e-6,-5.410284911391578e-6,-2.867822367902185e-5,9.54289625280472e-6,1.1913654152305389e-4,-1.2626677603979134e-5,-8.999318102348377e-4,-7.208800251301454e-5,3.124389497334126e-4,-4.6512694190758015e-4,3.31321402878308e-5,-4.4394100808763906e-5,4.928012786520402e-6,-2.407159440831137e-5,3.5714126672849555e-5,1.2352698815150582e-4,2.0290393771621805e-6,-2.37503570066016e-6,1.190081558407481e-6,-1.9170935119934626e-6,-4.533327649782232e-6,1.4382652546705407e-4,-5.298376372874052e-5,-9.119738795995079e-5,-1.08078927038233e-4,-1.63335096191099e-4,2.4539273485361155e-5,-7.289294713450863e-6,-1.0918830670674982e-5,2.635204061570429e-5,-4.67253116160893e-5
-0.010746787280833394,0.001380423367104481,0.002135677423045284,0.0024420194184992293,0.002685252790145852,0.0035204932347534424,0.002809040764448709,0.0026916640755414068,0.002606604383716363,0.0025259402859059534,0.002576465015556661,0.0026491681960558668,0.0025341457511660766,0.002603879190386698,-0.001131517700275588,-4.165995628021758e-6,4.814521588938604e-8,2.616032191698366e-5,-3.653598831947827e-5,6.490930406498108e-5,-1.3951773841247797e-4,6.941935632581526e-4,6.560316818993507e-4,5.6682173524489927e-5,4.1904828496410905e-5,-1.441221101276821e-5,8.51154339456874e-5,2.5305053786566495e-5,3.186789977176811e-5,-2.281208723960769e-5,-1.958620219600879e-5,3.3270495884829006e-5,2.7820894644956597e-4,5.643740030790475e-5,1.0529736950565156e-4,7.816686678852537e-5,1.1111828158647403e-5,-1.2170418450614597e-4,4.698703487522083e-6,-1.4017408696528792e-5,2.730967532114691e-5,5.4119985240903184e-6,-8.317900821492744e-6,2.2499834612180287e-5,7.159531844719897e-6,-2.7691513761578866e-5,1.927873326517283e-5,3.829593496721911e-5,-6.625573545710211e-6,-3.302581415363589e-5,2.0595470194838694e-5,1.2194696520450348e-4,-2.627412042869701e-5,-7.976693074559347e-4,-5.4448278227147224e-05,3.1979497908152417e-4,-7.583722744682409e-4,3.395247717081026e-5,2.919565590339595e-5,1.2419960547470842e-5,-4.5979134196624416e-5,1.1123631979754327e-4,7.072959264995028e-5,-9.254574899266963e-7,-3.4209822586541946e-6,2.4819141633214433e-7,-2.614840035528568e-6,-2.937354147297264e-6,7.864570106123519e-5,1.4472077549315519e-5,-2.7064780154524757e-5,-1.4196092460666876e-4,-1.0438839224853257e-4,9.175685786843516e-6,5.309013825525927e-7,-4.1298886011538895e-6,3.2543223717997554e-5,-6.462537233309234e-5
-0.005683101043266898,0.0012799094417643546,0.0020412694556379398,0.0021260723248944092,0.002207717040533324,0.0028090407644487028,0.003274777736745934,0.002658627304902823,0.002550871080227597,0.002563974058700844,0.0025227983735922306,0.0028176381606372963,0.0026448347679856165,0.0026780188207462248,-1.7356909313773412e-4,9.24635695807089e-6,-1.0067856311539921e-7,4.112552802675365e-5,-4.0499896228370055e-5,4.692369863030188e-5,5.408148256949162e-4,0.0011950081304169067,3.7172077367827804e-4,-3.9466896658206266e-5,7.403728130794018e-5,-9.479542708566156e-5,5.765995524994098e-5,4.966224609091887e-5,-2.9324583985520226e-5,-9.045290911406876e-5,-1.5419420746266377e-4,5.183505448102375e-5,-6.705656125864156e-4,3.146880614731407e-5,3.3460998562633576e-5,-4.581128142036077e-5,-1.2212494293342262e-5,-9.000538686132397e-5,-4.652182005899148e-8,-1.3101227128342203e-5,2.4189565648625475e-5,-1.0447965845010009e-5,2.247642160551529e-6,1.1177779361093922e-5,1.5064287342520824e-5,-3.780394601624683e-5,2.3760779572220938e-5,3.869279428931437e-5,-7.915093787135812e-7,-4.448621711719842e-5,1.4320231043389812e-5,8.34183567067229e-5,-2.0534635693280595e-5,-7.9979126320264e-4,-4.3878043553794356e-5,5.759456401256432e-4,-8.904786068158979e-4,2.870493115530026e-5,-4.829475348842072e-5,5.185851078044968e-5,-3.517076274305866e-5,6.295318291329022e-5,5.9299051308455046e-5,-1.332546649598779e-7,-2.628134845303183e-6,-1.3403643938011272e-6,2.4515047449041234e-6,1.7223475577238406e-7,5.1058895955042536e-5,-8.532596665835433e-5,-7.589587076750281e-5,-2.411514367143229e-5,-7.772631322170791e-5,9.037950781652241e-6,-1.1748544276255655e-5,3.765757943186244e-6,5.591001309702139e-5,-6.302922892231929e-5
-0.007032299342031398,0.0012556217033414785,0.0020247950065793376,0.0020698030221033125,0.0021765516300627876,0.0026916640755414007,0.002658627304902826,0.0029378071885803395,0.0028064171973118733,0.0028117580482661594,0.002699228234146626,0.002534582115330555,0.002592025830902757,0.002573502648896449,-1.6338900724706702e-4,5.6547443160888585e-6,-5.510888054711885e-8,3.605448377051332e-5,-3.291374382327542e-5,5.8944472053592806e-5,6.22956258204169e-4,7.878002336811655e-4,4.6918110813110573e-4,-3.5132759744104757e-6,9.313787429726531e-5,-7.189079010585926e-5,3.280574441718205e-5,4.538512268365853e-5,-2.5509621660718348e-5,-4.077998699163963e-5,-1.6032799531453984e-4,7.420856510142345e-5,-3.7296110640868774e-4,2.597631901478059e-5,4.9613498925012294e-5,-5.406290002192233e-5,7.899372440599101e-6,-2.2412529762557182e-4,6.469816765003159e-6,-2.200355167667904e-6,2.9145325479637948e-5,-2.523891966669571e-5,-1.2070976829611236e-5,2.7041738684680316e-5,5.490392917046961e-6,-3.223952227930651e-5,8.632449914898314e-6,3.703716186869433e-5,-2.8873599109881352e-6,-2.8721620356885736e-5,2.9915183431107435e-5,8.038171135628636e-5,-2.398852993504248e-5,-5.739673942288547e-4,-6.78985869974039e-5,2.63145072193856e-4,-9.060593629660216e-4,3.629424150896372e-5,1.373273901917024e-5,1.0614485183463024e-4,-1.6153559527381438e-5,8.859595230134737e-5,-7.59838845479494e-5,-1.5122643397842617e-6,-5.387259924336328e-6,-1.970834905306169e-6,-8.92736723639653e-7,3.36593316414762e-6,1.979000691496049e-6,-1.2930476821713843e-4,-5.2957844905389726e-5,-4.867431114758051e-5,7.984853909026128e-6,1.2934734399590547e-5,-8.407982308031016e-6,2.678911654537298e-8,3.495252645712695e-5,-6.197086098829584e-5
-0.004101181986706368,0.0011060120009191395,0.002122043548441965,0.002185647841261769,0.002152430361889357,0.002606604383716361,0.002550871080227605,0.0028064171973118733,0.003573854063549114,0.0033305529311212314,0.0031074629373200086,0.0029531082848637327,0.003025942399473316,0.0028754933871920946,6.220231783247154e-4,1.7019773642319726e-5,-1.1198955567165284e-7,-1.850768248069944e-5,-9.123912229273789e-5,-2.3590404298374547e-5,5.054230454137096e-4,0.00039943132769995143,8.406353887972226e-4,-2.7007636741302907e-5,1.1645610472276465e-5,-1.6204879761852386e-4,4.131465066924672e-5,2.9061447573861218e-5,-2.4028206914025187e-5,-4.2574270166983724e-5,-1.49550556262459e-4,3.7539859093122244e-5,7.877309636673928e-4,4.7267415094076556e-5,1.7488762019400646e-5,-3.065764272695154e-5,-4.39203653908551e-5,-3.1859127070951065e-4,9.571672948351549e-6,-7.801421986820733e-6,5.102627621736271e-5,-4.6857862650681806e-5,6.797278023631591e-8,1.2842889226629691e-5,-4.05125022572239e-6,-3.441541706646822e-5,4.5814092569953785e-6,-2.6615842906270818e-5,-4.685522014487983e-6,-2.0688746894904454e-5,4.703122640767454e-5,7.451311716628702e-5,-1.601085643409243e-5,-2.947470217859569e-4,-1.0694123844459536e-4,1.2550155485773176e-4,-0.0010543222140904725,4.222797626915887e-5,7.20817865951816e-5,3.8977165815232153e-5,-9.616936494326125e-5,1.4600672431104228e-4,-1.001220420653326e-4,-2.6303491848538606e-6,-1.812059273019296e-6,1.814484374295477e-6,-4.062441515975916e-6,3.6263046387468218e-6,-1.1599867365957472e-4,-8.317481735347859e-5,3.06627435180105e-5,-1.9763178025168708e-4,-5.191795886624786e-6,7.150802178014644e-6,-9.568143761627974e-6,-4.276533389023017e-6,5.3744301661788545e-5,-6.694728784030049e-5
-1.6940797329817117e-4,0.001132501844642161,0.0021617546263686797,0.0021175816643667173,0.0019564203666159693,0.002525940285905936,0.002563974058700836,0.002811758048266149,0.0033305529311212275,0.00370155546817091,0.003337892682285184,0.002928777731632718,0.0030806907826896363,0.0029281312081416416,2.6229016697162526e-4,2.0040268329172434e-5,-1.5152296152816455e-7,-2.0945628572466904e-5,-1.119113519242218e-4,-2.9519884068959854e-5,4.6676121121776154e-4,8.240236213318533e-4,4.502160206817311e-4,-1.4071215818646254e-5,7.747702406229384e-5,-1.0159997537000085e-4,3.089570132517766e-5,5.993692969919985e-5,-5.3949130955032484e-5,-4.404620540890345e-5,-1.3283653790656445e-4,1.1081623239445537e-4,9.350276012332312e-4,2.555276925019744e-5,2.2819686442881815e-5,-1.8930009270119394e-5,2.1002482143338464e-5,-3.7266710402498543e-4,1.0220428197824468e-5,-1.2170396558668685e-5,5.944126465573559e-5,-8.586439788829918e-5,-2.3946431609107266e-6,1.1854080877520811e-5,-7.725169841370614e-8,-3.3093160200735154e-5,2.311244457642321e-6,-2.496081254414161e-5,6.50639839150709e-6,-2.1032393444322736e-5,5.734462898466941e-5,5.445064712765906e-5,-2.2925425000930812e-5,-2.9816215169982315e-4,-1.0294701739939639e-4,1.836401789106794e-4,-8.694875323140671e-4,3.6747207301573584e-5,4.6579744505219135e-5,6.389225298925679e-5,-4.3377545421048795e-5,1.3207211015592725e-4,-8.727499446280783e-5,-2.882997482921598e-6,-3.4707740564799075e-6,-1.267593954758769e-6,-2.252175779402703e-6,4.319946138113605e-6,-5.407260393442807e-5,-9.672860010669045e-5,-4.456276081496567e-5,-2.1443936858941146e-4,2.0542211540675643e-5,-1.130446052743067e-6,-1.1257284228006905e-5,3.0313560314390525e-6,3.744676248273261e-5,-7.157584800820179e-5
