(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
0.10696345385417759,7.574943093853141e-5,3.3099556358631694e-4,1.4021665780538812e-4,2.8340648256935003e-4,9.704923089958808e-4,-8.327650768108789e-5,1.0374604773182408e-5,-5.381399834555829e-8,-3.595026363992066e-5,-2.367911922521417e-5,-1.405273965164391e-4,2.2782697078581652e-5,-1.559813786607154e-4,-5.9265376178777536e-5,2.3981826145666623e-4,-3.494045167409559e-5,1.1775664694150177e-4,3.957434612772406e-4,-2.312247384346947e-4,1.1207350217652924e-4,-4.711017636566759e-5,8.327057303136278e-6,-1.880553240429461e-4,7.297243100109738e-5,-2.3072648319373557e-5,-4.2276199608532055e-5,-4.743132541936946e-7,3.6684294052162194e-5,4.047347772033128e-5,-7.203658908888738e-5,-1.4134603427584031e-5,-4.468477042284101e-6,7.573528205494379e-5,2.978916527635105e-5,8.896716333920584e-6,-1.454742604725054e-4,1.4648699862791909e-5,-1.3682958413535062e-5,-1.7250845937594854e-5,-4.4191122106554637e-4,4.975769627941109e-6,-0.006782357665088174,5.088740559267091e-5,6.398528431016008e-4,0.0010368996958080177,1.347768506865269e-4
7.57494309385571e-5,7.96725121124067e-5,7.685671339818154e-5,7.202136892017424e-5,7.213264144623806e-5,8.706600772335731e-5,8.146965472890747e-6,1.473266875738886e-7,-1.9021977950312576e-9,5.709977226762165e-6,-3.4368017846374215e-6,-1.676085021440344e-6,1.1674688632235975e-6,-1.3333419149758681e-6,4.607822271128526e-6,-3.6355981239827425e-6,2.0447656839225167e-7,-1.4827334262586666e-6,5.569688276566505e-6,-1.4270761416415123e-6,-3.3424571086338348e-6,6.583945435545753e-8,6.870429075874605e-7,4.853835044545194e-7,4.238194758005321e-6,9.041657210609285e-6,1.183373400280922e-6,7.905840534534685e-9,-3.034274914522025e-7,2.0680259201800763e-7,2.315685186034208e-6,-9.543399690787941e-7,-7.820082069640072e-7,1.5346861268342997e-7,-5.066761657713373e-7,7.648419074458051e-7,-2.4199955411706254e-6,-7.410043478726441e-7,-3.716191164172644e-7,-6.65121433689851e-7,-1.95572792762602e-6,2.5355762393920295e-7,2.338649018087002e-5,-7.808699383881022e-8,1.5901938996345918e-5,-1.3634337442871894e-5,4.6141412715111257e-7
3.309955635864345e-4,7.685671339818154e-5,1.3602113004891075e-4,8.662203786222626e-5,1.0465755592270807e-4,1.2388244947237527e-4,8.472313950009859e-6,5.480791784584243e-7,-5.6536781154875074e-9,8.298970502048823e-6,-5.2117752453798135e-6,-1.3171036846567803e-6,-3.936926608546876e-6,-2.724468031860738e-6,6.395360923211902e-6,-8.50052621047273e-6,-3.610853760201448e-6,-2.7628353387126536e-8,4.092825840963017e-6,-9.602723741326358e-6,-1.170266896843266e-5,5.688835935071264e-6,-1.5856363863608898e-6,-3.0287696062566148e-6,8.082715585352881e-6,7.234542793223176e-6,7.262846237866688e-6,-1.5162697993153898e-7,-2.4149815749030693e-6,1.033306683715822e-6,1.992386142016622e-6,-1.5422255337793557e-6,-2.2488299794210537e-6,1.7635502396127423e-6,7.812631932821442e-7,3.5198777379160517e-6,-4.524076297995333e-6,-1.2781832670320518e-6,-6.511207655266904e-7,-7.706207215132947e-7,-2.010095041788074e-7,-4.7155927333193313e-7,-1.5766192226149496e-5,-6.074246520026792e-6,8.950878163371304e-6,-1.0141776457642015e-6,1.919251476117891e-6
1.4021665780528995e-4,7.202136892017434e-5,8.662203786222628e-5,2.8575489144504033e-4,1.6494665882867344e-4,1.3520407738542087e-4,-3.985712952953317e-6,3.0283997552429925e-7,-3.165667451509951e-9,2.807336566250434e-6,1.3388301095381705e-6,1.8101632955324983e-6,1.1082649640927024e-5,-1.932204228384646e-5,3.552786105886709e-6,-5.377363230966714e-6,-8.502708518730239e-6,9.936781959171001e-6,-2.1642997685903896e-7,-2.5086236635668554e-7,-1.2985839707838331e-5,5.108055298383225e-6,7.764830351512086e-6,5.929981037777585e-7,1.061163597351155e-5,-4.4273517565483785e-6,6.733405641446066e-6,-7.056953260844535e-8,9.988888724652987e-7,1.0540465874854188e-6,8.389504305541599e-7,-4.715534644723685e-6,-2.212424510183654e-6,8.620072794025866e-7,-4.23660012680741e-6,4.634404178613654e-6,2.6521893485156715e-7,-4.5051707915125855e-6,-1.5137522420509564e-6,-1.5034452872697103e-6,-6.261863117324597e-6,2.3620211499501422e-6,7.032335099777461e-5,2.174644776091446e-5,6.355086217580563e-5,-5.198761953946188e-5,-8.961437992163124e-7
2.834064825695249e-4,7.21326414462382e-5,1.0465755592270769e-4,1.649466588286739e-4,1.9321012442551427e-4,1.576859401119901e-4,7.322715619413072e-6,6.106507826396261e-7,-6.363394204058699e-9,1.2878062700389637e-5,3.0045917174666473e-6,8.373066801544057e-6,-5.220833630917413e-6,-7.716236020890156e-6,2.8411909453521583e-6,-1.040261825754464e-5,-2.2357510524781108e-7,-5.829883212337677e-6,-1.030800241647899e-6,-1.2632463894622121e-5,-1.6446102756502263e-5,4.311401098529172e-6,6.916355506569292e-7,-7.852979661029686e-6,1.003581690187638e-5,1.2442492774932672e-5,3.563950723923875e-6,-3.471263186389682e-8,-8.744228985126651e-7,1.008247210730154e-6,3.00880250387426e-6,-2.8009377601575366e-6,-2.6937857375364126e-6,6.698984541546316e-7,-4.515506444023074e-6,3.4839371240361257e-6,-4.024650102826521e-6,-2.227213856931443e-6,-1.3441681038404363e-7,-1.1508389792756073e-6,-4.297213493545276e-6,4.681508457091525e-6,1.5318908001022543e-5,1.4014406858722772e-5,3.168340523094743e-5,-4.002273255482809e-5,2.3076200897571294e-6
9.704923089961866e-4,8.706600772335724e-5,1.238824494723746e-4,1.352040773854211e-4,1.5768594011199058e-4,2.2925860241281e-4,1.1815838814032297e-5,3.6441351757640525e-7,-5.37848304034618e-9,1.1222796284255852e-5,-8.113228513782832e-7,1.5432647375789356e-6,-2.2604534649560155e-5,-5.91603157026203e-6,3.914193499373673e-6,-1.3087569545715987e-5,-2.5990416095592637e-6,-6.424497820055912e-6,-8.284643836654996e-6,-9.190526220829413e-6,-1.0937055579940715e-5,-2.129855444669512e-6,3.7551209643115887e-7,-1.1819279888185424e-5,8.953152455422365e-6,1.3667305455992048e-5,3.167132357613785e-6,-3.330598605361453e-8,-3.8016422668005312e-6,3.4260663576054477e-6,3.885950251674866e-6,-2.9080190306606892e-6,-3.7492527860608092e-6,1.7744529391116946e-6,-1.912281740775826e-6,4.9507404314413945e-6,-1.3965327570909955e-6,-1.624956094103227e-6,-1.6532540733205322e-6,-2.402213984446901e-6,-6.339019093367578e-6,1.4591804960126336e-6,-5.246133445156049e-5,8.47595696986733e-6,2.9780752312739238e-5,-1.4664199821935698e-5,2.930276074531915e-6
-8.327650768108832e-5,8.146965472890749e-6,8.472313950009867e-6,-3.9857129529533205e-6,7.322715619413084e-6,1.181583881403231e-5,1.972277139139236e-5,5.5588107852770794e-8,-1.5482333306727688e-9,3.100115821258691e-7,-2.7951983617762547e-6,-1.0163910494217914e-6,-2.5111349057886367e-6,-6.028003160937822e-7,-2.6754280319605654e-6,-1.0720080100410357e-6,-3.2827955783725205e-7,-3.1285062003629907e-6,-4.30162340166659e-6,1.8181421713111436e-6,1.614693376613849e-6,3.3738177613487397e-6,-1.1213596172222239e-6,-1.1899723552573238e-6,3.3272778666506037e-6,-1.8777729887989337e-6,-2.001047643324718e-7,-3.9696179917518596e-8,-9.24967243158798e-7,3.6884319998188496e-7,1.0445604046088516e-6,-9.317884792277157e-8,3.800328575009699e-7,-6.312818490102817e-7,-1.2489815002147197e-7,-6.804271675060242e-7,-6.290055759400438e-7,4.520295111528428e-7,6.057238196269156e-8,4.655250461718556e-7,-5.649711177768914e-7,8.420261498104326e-7,6.509124183081534e-6,-7.972921189176069e-7,3.7370098261907584e-6,-8.435523118195896e-7,4.454606669620464e-7
1.0374604773183492e-5,1.4732668757388524e-7,5.48079178458436e-7,3.028399755242895e-7,6.106507826396193e-7,3.6441351757644914e-7,5.558810785277157e-8,3.9380428095248633e-7,-3.898270852431909e-9,-6.060435410446974e-7,-5.609125152441776e-7,-2.8563324330156036e-7,-5.161414232674475e-7,-2.2275957913723239e-7,-1.875023986331285e-7,1.8489456216227265e-7,-2.6107441088525325e-7,-1.5540210175226444e-7,6.431459664197269e-7,-4.7811414677542776e-8,-2.460926764146171e-7,-2.8578329723255184e-7,-4.91738014765447e-7,-1.8910580791339257e-7,8.975426063514485e-9,-1.0696778910903805e-7,1.7135380053936583e-7,2.9578400934960315e-10,3.916606796250017e-8,9.738349851452294e-8,-4.666008870204371e-8,5.5752941619184626e-8,-1.3412147833576492e-7,3.503305276463435e-8,5.281895765058532e-8,-3.3040457224103894e-8,3.6208208323893305e-8,-5.457268316394708e-8,-6.639515344380411e-8,9.389544375279824e-8,-9.478298355447716e-8,-9.383742738654844e-8,-2.2616852180378273e-7,-2.47705901457682e-7,1.0032326417456104e-6,-1.155080598904923e-6,-4.423665520570516e-8
-5.3813998345566984e-8,-1.9021977950312274e-9,-5.653678115487629e-9,-3.165667451509769e-9,-6.363394204058695e-9,-5.378483040346712e-9,-1.5482333306727734e-9,-3.898270852431892e-9,4.267649430283676e-11,4.7239600376549674e-9,3.926686949621512e-9,-7.832576294616107e-10,5.214412223666821e-9,1.9250746411199887e-9,2.7138786869278093e-9,-5.923427442137325e-10,4.178158543178774e-9,4.816901900992527e-10,-4.3896097417011695e-9,5.761448029497671e-10,3.346872042777283e-9,4.87975522627003e-9,6.3230642876484824e-9,1.2346347138457004e-9,-1.7150963131932854e-9,-1.176008102483205e-9,5.574902575948454e-10,-8.473942648159493e-11,-2.6539775622435253e-10,-8.106609297743562e-10,3.6209593453210436e-10,-4.0829834328359583e-10,1.3671722335975087e-9,-3.153681241986369e-10,-6.19455055543039e-10,3.1343008552140403e-10,-8.567950951813229e-10,4.945606382075181e-10,6.51536096398859e-10,-7.825578940066141e-10,5.479593779048696e-10,1.1923111713631503e-9,-8.0378690079408e-10,2.296438134818172e-9,-8.414318382688996e-9,1.1170013996089136e-8,3.5414521575288444e-10
-3.5950263639911334e-5,5.709977226762184e-6,8.298970502048807e-6,2.8073365662504482e-6,1.287806270038965e-5,1.1222796284255757e-5,3.1001158212586743e-7,-6.060435410446995e-7,4.723960037655025e-9,1.5293113207562232e-5,7.306051678598446e-6,1.1872177550786682e-5,-5.128318319813004e-7,-1.0638102054837983e-6,1.7598257406916626e-7,-1.8105482626221254e-6,1.321657403009272e-6,2.615399566546295e-6,1.616207299918594e-6,-2.583744549450611e-6,8.1982390521166e-7,1.966068891858611e-6,6.05668807061854e-7,7.668449072448634e-7,5.2181170299486234e-6,8.552940935532742e-6,-2.219990243318745e-6,1.8318658333056277e-7,3.133628164063548e-7,3.1041384504667375e-7,1.23940524712722e-7,2.0190449403025665e-7,1.5742980828444499e-7,-3.061945486417719e-7,-4.6151178370304975e-7,-8.057584729235148e-7,-2.2754720649321148e-7,3.065285846036748e-7,8.859127356946781e-7,4.299030409520425e-8,-3.0099768777924303e-7,4.597665070813539e-7,-5.391753863326437e-7,3.9918264765839995e-7,6.83755139487762e-6,-1.750340405969136e-6,2.3357229844106897e-7
