(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
0.02102451461107116,1.0182416446170012e-4,-5.00202432537934e-5,-1.7750001910433964e-4,-5.6985277544814534e-5,-1.0460834823546072e-4,-4.240874869275466e-5,-4.6971029707313223e-5,-8.762547634735506e-5,3.513939089214916e-5,-1.503279408799806e-5,-1.6380214814703593e-4,-9.918382893041423e-7,1.118701705255166e-4,1.2225749413540644e-5,-3.984771653932999e-6,2.4544960583380763e-8,4.5527103034267004e-5,4.407601686572568e-5,6.079002622238398e-5,-6.62986610029202e-6,-3.12905589678426e-5,5.115913984512473e-6,1.8738905974848188e-5,-1.7348612190640036e-6,3.076988996655023e-5,2.8374306524682823e-5,-3.0065698087390863e-5,-2.792931013388262e-5,-6.787491033553924e-5,-3.791995248055412e-5,2.21968876762492e-5,6.020088473080372e-7,-4.554462097781406e-5,2.2417836054995207e-6,-2.842796992071369e-7,1.0707693612887902e-5,-4.33973462128444e-6,2.8209761854798307e-6,7.144706243195539e-6,-1.8976359555650515e-5,3.3642232320608092e-6,4.135415029374979e-6,1.5034556979317142e-6,-1.3196387510954762e-5,7.567764525653665e-7,-1.0643632764571332e-5,-1.4722213916573712e-5,-6.544475634668125e-5,7.097538042193884e-6,-0.0014843367875768984,2.4103759854252743e-6,7.056137923505558e-4,1.943973507271543e-6,2.0943663879669374e-5
1.018241644616899e-4,5.5905017438070086e-5,3.5354681814650515e-5,2.8676129978370258e-05,2.9297926810710508e-5,3.1052769414410806e-5,2.753475926163166e-5,3.4027859223044694e-5,3.0830108241751514e-5,3.022994360411431e-5,2.983841667444354e-5,3.0250434625352154e-5,2.7126024275139076e-5,2.8022964430559896e-5,-6.889811584701183e-7,1.3493879859585843e-7,-1.1892632480276727e-9,4.522333771178761e-7,2.9978510864716626e-7,-1.8693516545237935e-6,2.4092564062459176e-7,-5.020015158303569e-7,3.6588609585223873e-7,-1.5929241968108178e-7,2.2302654160588675e-6,1.613392877369877e-6,7.12518436327171e-7,1.0897095022773123e-6,1.1979807155257593e-6,-1.2468227180992902e-6,1.7453799635782926e-6,-6.958837514746396e-7,8.087777406304381e-7,-4.908374867316314e-7,-6.61525988972966e-7,3.162678077495148e-8,2.8368881426454575e-8,9.26605746565437e-8,1.5364213245236697e-7,-2.850284186432281e-7,6.287703569698291e-8,5.088853786776419e-7,2.3766664643166794e-7,-1.1136149167617812e-7,-9.685746161157856e-7,-9.361171576062394e-8,-1.3931296542088363e-7,-3.9540500290001956e-7,7.548101326599643e-7,-2.6681803046677863e-7,-1.3020122332687316e-5,1.3224003013251558e-6,2.74594480051383e-6,-6.017727749254757e-6,4.946717192617562e-7
-5.00202432538018e-5,3.535468181465059e-5,6.856642176968194e-5,4.858753895396045e-5,4.7250322230095074e-5,4.7722034971093656e-5,4.5971626827235e-5,4.5198099126928904e-5,4.998490203477896e-5,4.840221442797945e-5,5.019997368502385e-5,5.363333327816725e-5,5.099707062704465e-5,5.0430753376156134e-5,-3.1133198727513867e-7,2.2253580295724202e-7,-3.1245649319044507e-9,2.6124988597992393e-6,4.467153027159829e-7,8.778353011779009e-7,-6.100002415308806e-7,-7.46883512774208e-7,8.989565571164534e-7,-1.7740573531275626e-6,1.2531277802720931e-6,1.8229301303623961e-7,-1.1977999015634535e-6,-1.061820817713142e-6,2.0434268666966105e-6,-1.4383394773060015e-6,2.3644872495146913e-6,-3.6138542302100234e-7,4.3129062912212235e-7,-6.723523227083604e-6,-2.8198479390480463e-6,1.1667906743807836e-7,-2.9969996744730323e-07,4.6795790538916906e-7,2.8934292340791702e-8,1.3256600860860852e-07,-1.2697811412709722e-7,2.9075834547978516e-7,-2.0494611188370867e-7,7.932524052663637e-7,-4.683252619623148e-7,-8.55801742261196e-8,7.353652188480978e-8,-4.5122235945314523e-7,1.727527265546332e-6,-6.838472979844536e-7,-1.2299131275655887e-5,4.811814809300117e-7,9.004643524950344e-6,4.360243234012313e-7,3.652897104933625e-7
-1.7750001910434997e-4,2.867612997837016e-5,4.8587538953960224e-5,8.302901807310742e-5,6.212549842465519e-5,5.784087901714561e-5,5.5967140450524916e-5,5.654656959987582e-5,6.225678819748243e-5,5.659558426072644e-5,5.715082208491889e-5,4.359718248576072e-5,5.1078949073524165e-5,4.878573298225346e-5,-1.104319791004355e-6,1.7321698942721731e-7,-2.535259445525591e-9,2.4517089010359436e-6,4.1811601455416763e-7,2.1327128192407424e-6,-5.205123230068923e-7,8.739463870249022e-7,4.532909340294524e-7,1.091701088364225e-7,1.4031211226642226e-6,1.64385561659568e-6,-2.784415158281023e-6,-1.0357104422404543e-6,3.453782899429323e-6,-6.37929346795221e-7,3.1837675241894743e-6,1.7940859927342398e-6,-1.573702094436629e-6,-2.9982691468914995e-6,-2.27791841164284e-6,9.791163713002914e-8,-3.0781939741449226e-8,7.143456475631492e-7,3.4083043982272783e-7,-5.594334827941037e-7,4.4480833919746533e-7,-4.9485650682642717e-08,-7.150683860828659e-7,1.0977395479470634e-6,-5.272052734037138e-7,2.3817749304683459e-7,1.782209095744566e-7,2.0928244459058134e-7,1.730474690805377e-6,-3.2873638666005983e-7,-1.3136131204544577e-5,-2.817642123768014e-6,4.236920688140034e-7,-3.051802147117255e-6,5.24612596552097e-7
-5.6985277544824374e-5,2.929792681071059e-5,4.725032223009505e-5,6.212549842465544e-5,8.218361138740454e-5,6.400389577551381e-5,6.397748236839696e-5,6.390354687725637e-5,6.180024310124996e-5,6.317594272506314e-5,5.9040530298778926e-5,5.40939476815557e-5,5.578282174442086e-5,5.426424566572546e-5,2.444933911985431e-7,3.659395459219957e-8,-1.3154701315324466e-9,1.267339241107503e-6,3.1784676928615164e-7,9.946484960195147e-7,-1.0470963411559822e-6,3.92849091796162e-7,-8.283850110598144e-7,-1.5607341948557644e-7,1.8094388473348317e-6,6.617850605043493e-7,1.4888786411455577e-6,-1.315528137505238e-6,1.9184876168355924e-6,-3.027211052540404e-6,2.3055461467783844e-6,3.343112864235239e-7,-9.10860097234913e-7,-2.469755329273142e-6,-3.2748422851048923e-6,1.0676763120616122e-7,1.5239058677980064e-8,5.308304178260457e-7,2.436325313975462e-7,-3.2267804806053447e-7,-2.5001932320210396e-7,6.590332722962139e-7,-3.9195147291761134e-7,9.90999871616499e-7,7.767027753389778e-8,8.066385305676957e-8,-5.10889896205539e-7,-1.6992692158164828e-7,1.1330823830320036e-6,-2.737105362207587e-7,-1.5695270651289803e-5,-1.1433885166903399e-6,-4.299853427283737e-6,1.6975755499643995e-5,1.6419904134080862e-7
-1.0460834823547659e-4,3.105276941441087e-5,4.7722034971093575e-5,5.7840879017145735e-5,6.400389577551376e-5,7.614294601671529e-5,7.027567662259514e-5,7.276485452405073e-5,7.105880883113274e-5,6.672985455809837e-5,6.70026342154509e-5,6.21926923579116e-5,6.528263634701389e-5,6.231599587016453e-5,1.649208683733969e-7,2.7221832989721785e-8,-6.349341735151684e-10,1.5990041137811482e-6,4.98938094822004e-8,5.3673455937886816e-8,8.521809428368878e-8,-5.194333387491691e-7,3.59395675327948e-7,2.1132827411180344e-7,2.1742278662057332e-6,-1.0283709786319422e-6,-1.1532800574190693e-6,-1.0041085750151912e-6,3.5246051833506407e-6,-1.566442397499456e-6,2.5060934524926195e-6,3.24487268691004e-7,-1.007509984249182e-6,-4.55053777047417e-6,-2.4818717534132723e-6,8.399049325475975e-8,3.4160635207088083e-7,5.317182259560256e-7,-7.970697899899814e-8,-2.3383609706777437e-7,2.953664608645351e-8,5.206169815301314e-7,-2.7445234859072223e-7,7.159100306033217e-7,-3.830499065008473e-7,1.0180594232954663e-7,-3.8043644972454475e-7,6.962313452715513e-7,1.3385964046434656e-6,-5.318265323609699e-7,-1.3599906501026985e-5,-1.0401524072752815e-6,-3.014071389598741e-6,1.004357251246596e-5,-6.79842443269729e-9
-4.240874869277383e-5,2.7534759261631622e-5,4.597162682723482e-5,5.596714045052498e-5,6.397748236839684e-5,7.027567662259504e-5,8.48672945864592e-5,7.749606219486714e-5,7.516723795660458e-5,7.194213857808226e-5,7.513895921638133e-5,6.501989379697957e-5,7.070091058620655e-5,7.324638077847311e-5,4.381733428640258e-7,4.7777404154284975e-8,-6.373136762109094e-10,1.6782855838674958e-6,6.155425938736794e-8,1.3928031572728422e-6,8.483160554901802e-8,1.4898071876124697e-6,-2.7616492465000626e-8,-2.0384699810497817e-7,2.4808481696498095e-6,3.288247115269597e-7,-4.739465768197667e-7,-2.574077265594052e-6,3.120147995611183e-6,-1.5102030784345327e-6,2.464846793538463e-6,1.7154323773744497e-7,-6.715412051144305e-7,-3.961063700648467e-6,-2.5438173653586595e-6,8.57569474122402e-8,5.117766254252363e-7,5.716185384262417e-7,8.109840375365274e-8,-3.902784776998313e-7,-8.428425604724959e-8,6.837106825170055e-7,-7.01753140697732e-7,1.2125578209464146e-6,-1.5080805012246922e-7,3.000621636473814e-8,-3.818625442344386e-7,6.072366726786766e-7,7.324795131411442e-7,-6.570148960526846e-7,-1.8713178761583707e-5,-1.914723511048035e-6,-6.218316168035231e-6,1.4776998692432572e-5,1.871514428811346e-7
-4.6971029707333796e-5,3.40278592230447e-5,4.519809912692878e-5,5.6546569599875876e-5,6.390354687725621e-5,7.27648545240507e-5,7.749606219486728e-5,9.485623813683076e-5,8.409277273031368e-5,8.317021086200805e-5,8.156074912431607e-5,7.17539729697295e-5,7.59195376165936e-5,7.451986621252012e-5,7.522733550246559e-7,-5.4231683036268456e-8,-1.8248725139582986e-11,1.743404881127916e-6,6.223123769421921e-7,9.692701638215818e-7,-1.4816458928119505e-6,-2.1551307727533936e-7,-5.668076311278096e-7,6.998611827227144e-8,3.1494511378411534e-06,-2.7038516245749046e-8,-1.0686070449941136e-6,-3.184269453654136e-6,3.621350270154075e-6,-3.3381498228737424e-6,2.6039337673341646e-6,9.067615191677012e-7,-3.519728130387883e-7,-2.890783131886342e-6,-2.569467402008441e-6,5.887561967375773e-8,5.109664798598218e-7,7.437993792251509e-7,3.2328241640065447e-7,-5.684073796336392e-7,2.86561851506828e-7,6.960980031861619e-7,-7.040756411246758e-7,4.2860782729998824e-7,-5.513016695404243e-7,-5.053156861486258e-8,-3.228504619297979e-7,8.969034452934975e-7,3.7577284884774127e-7,-6.155931538698428e-7,-1.2161588459371845e-5,-1.137575327506836e-6,-7.066104748712427e-7,8.39811004458242e-6,2.637884627154111e-7
-8.76254763473939e-5,3.0830108241751704e-5,4.9984902034779046e-5,6.225678819748277e-5,6.1800243101250025e-05,7.105880883113283e-5,7.516723795660475e-5,8.40927727303137e-5,9.611819352092193e-5,8.672645260274506e-5,8.521526226062757e-5,7.760452499968927e-5,8.205698431152247e-5,7.922075578225219e-5,1.160990829140735e-6,-2.342809507863727e-7,1.616892175717078e-9,2.807005115919929e-6,7.293103011882583e-7,5.293899426336768e-7,-5.751439073987567e-7,3.794644496930006e-7,8.480044209536502e-7,6.83822695224075e-7,3.6720926523563984e-6,1.7533180606257393e-6,-1.673729376827187e-6,-2.00764941560113e-6,4.461643006878597e-6,-1.3016882575708983e-6,3.962467117663529e-6,1.1268239900489504e-6,-1.0688833938752614e-6,-3.9971841654679e-6,-2.371990427352188e-6,7.321155057732634e-8,3.655962434022755e-7,1.0955107207486489e-6,5.754867240609944e-7,-7.045317972908781e-7,3.104028880964599e-7,7.891272264046516e-7,-7.461728475306396e-7,9.096075816541271e-7,-3.291636568067981e-7,-2.6800546853846503e-9,-3.13679791387903e-8,4.699536898416742e-7,1.1713767395709734e-6,-9.831936319495485e-7,-2.2852635549284604e-5,-1.218383318163004e-6,-5.9650184535494554e-6,9.175311270124216e-6,4.646194098954633e-7
3.513939089211854e-5,3.0229943604114358e-5,4.8402214427979315e-5,5.6595584260726574e-5,6.31759427250629e-5,6.672985455809821e-5,7.19421385780822e-5,8.317021086200797e-5,8.672645260274502e-5,1.009846755168566e-4,9.320456538441485e-5,8.596200550506913e-5,8.685373169966806e-5,8.6263286120727e-5,1.766772295711039e-6,-9.048641007965594e-8,-7.208853754620018e-10,2.981002644560822e-6,1.3682330550926755e-7,8.717695835325012e-7,-1.7870480899295992e-6,-5.916245502452236e-7,1.8532655007832496e-6,-8.468766425350858e-7,3.3882533764156824e-6,2.7110013674724765e-7,-2.9835217864381222e-6,-3.0745122913955946e-6,4.6411848467587586e-6,-1.8766392472543396e-6,2.6897933240683738e-6,1.6733346611841344e-6,-6.730299536648925e-8,-7.67238822716843e-6,-2.607790656739215e-6,1.1863360159262276e-7,9.167760857316651e-8,1.4247922173623824e-6,2.729151628841725e-7,-6.444002998283814e-7,4.623616602877592e-7,5.726697971570928e-7,-9.370847793862423e-7,4.832853287792534e-7,-3.7598052623722624e-8,8.858680790454425e-8,-2.063559347809857e-7,5.630374758911972e-7,3.8868167541428535e-7,-1.1340438677433958e-6,-2.263074876213058e-5,-2.0179528813388814e-6,1.521654837451442e-5,9.14971205844902e-7,2.5766665976716204e-7
