(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
0.1250631593789194,-0.001291295082444198,-6.909622524820674e-4,2.730987454365644e-4,-5.838631977856452e-4,1.0645649669837225e-4,8.075860467292832e-5,6.143946921593825e-4,4.8050486757139854e-4,5.508362951114604e-4,1.662509204097546e-4,-3.1366960401044375e-4,4.2853894762500425e-4,0.001432128654846939,6.802538292175388e-6,4.847448122548141e-6,3.179402221762374e-9,0.00017210264230691839,1.8365086202285305e-4,1.518763785024148e-4,1.5035353832718558e-4,-1.3056000754913433e-4,-5.762741308961183e-5,9.424950797762363e-5,2.0935629873814813e-4,2.1837074521411759e-4,1.0667124039122606e-4,2.3928124726920136e-4,2.282568946316245e-5,3.7970938612396905e-4,1.3020239335548122e-5,-3.07788806471864e-5,5.4530875974930784e-5,6.109440310993456e-5,1.8423986254737117e-4,-6.281528358406785e-6,6.821970898440975e-5,2.9231638436363843e-5,-6.0052759169307876e-5,3.836685538269343e-5,-1.1319007938810101e-4,-1.0927754418247245e-6,2.439370298050589e-5,-3.3028145313813306e-5,-8.848712628005783e-5,5.392736655532802e-5,-4.613337238520865e-5,8.051941654739843e-5,-6.138853695479006e-4,9.792734109151498e-5,-0.007695559845290606,-5.925497165908666e-5,0.0030510337570945675,0.001996661428562026,3.140996826787761e-5
-0.0012912950824443008,5.04714950032521e-4,3.309718799976505e-4,2.842504488315894e-4,2.63537344880217e-4,2.504105437820708e-4,2.3701207081727667e-4,2.505593496058186e-4,2.491618834297329e-4,3.035454144388895e-4,2.705828193875847e-4,2.8665983130586473e-4,3.091431203958567e-4,3.189212764848612e-4,-1.0291916830219739e-5,1.9340193305123567e-8,-2.387657419847931e-9,-2.534089278029282e-6,-2.6152307040402704e-6,4.2193884872222835e-6,-5.492766314048573e-6,-9.771788901891052e-7,9.93188570420065e-7,-5.970871421330632e-6,1.1335461317550048e-5,1.859699729055041e-5,4.22640402809625e-6,6.2861817886349686e-6,1.3646415416467902e-5,-2.1429795096844132e-5,-3.4587972565472917e-6,5.333866053746518e-7,1.6607396079127138e-6,2.883381504566768e-5,-3.350966737721981e-5,1.062334274118382e-6,1.9394691993328263e-6,-5.064845299968832e-7,4.9588485119141054e-6,-2.6035125601416273e-6,-1.049919552725447e-6,1.592429452546863e-6,-2.3535477513813077e-6,-3.5693043875910666e-6,1.0179827198428445e-7,-1.5431054989760531e-6,1.5407545725293207e-6,-4.659507869284264e-6,1.6148372607694396e-5,-2.6074965347033803e-6,2.2553093641581227e-5,4.906640860476075e-6,-4.2254766103402334e-5,5.4119203715792e-6,2.6694484228738503e-6
-6.909622524821342e-4,3.3097187999765146e-4,5.832204838616712e-4,4.010979728338001e-4,3.670171055526751e-4,3.8700501500921414e-4,4.189960901837239e-4,4.2432503401084587e-4,4.2302893700515396e-4,4.4883518972620005e-4,4.4619474109788956e-4,4.1934818057108234e-4,4.539379220276363e-4,4.1216557026010247e-4,-1.2453437805268275e-5,-1.1856684368259152e-7,-5.64105335571176e-9,6.623624740224862e-6,1.7303193510218005e-5,1.4133120400462597e-5,-7.167895966936383e-6,3.250443181371305e-6,-9.677517790155708e-6,-1.0573538607979482e-6,-6.814157901040373e-6,2.9496176661154584e-5,1.6092287096399064e-5,-2.613774733695542e-7,1.7705107501619505e-5,-3.0466037898282998e-5,-7.922431904195224e-6,1.5687932290890897e-6,1.0557567254407782e-5,4.120348642371677e-5,-3.586699424112059e-5,1.0903821321800207e-6,6.997692813633127e-7,-1.5090300090125293e-6,-9.549044693100047e-7,-1.3970955020585955e-6,-1.9433212805140196e-6,4.022377034995425e-6,-3.7272511009646637e-6,-1.3143592450563577e-6,5.19627449155514e-6,-2.681279367898757e-6,-1.9870142513115395e-6,-1.151435273423019e-6,1.3130265778214081e-5,-7.205113529333629e-6,1.140171539830056e-5,7.050055830043776e-6,-1.4079156471239349e-5,-3.830757969607658e-6,2.3578704164600547e-6
2.7309874543644195e-4,2.8425044883158827e-4,4.0109797283379773e-4,6.633055333633154e-4,5.061413490809476e-4,4.520122469547982e-4,4.093355588969295e-4,4.248788566137446e-4,4.374645801733696e-4,4.462316524057201e-4,4.534034541054601e-4,4.029863147413467e-4,4.590411390003577e-4,5.019769436154123e-4,-2.089103486351281e-5,2.8920652190420352e-6,-2.884583916469128e-8,-2.691125017577129e-6,-2.628326399957378e-6,1.8791760021400568e-5,3.760046135583493e-7,-6.303881330634061e-6,-1.1101518544326379e-5,1.4141738999633137e-5,5.0798005547571654e-6,4.5998907153330836e-5,1.0971073565073726e-5,-7.086071840393137e-6,1.3199356080870365e-5,-7.820851987408203e-6,-6.7088554666201716e-06,1.815757751119206e-5,1.7522305573785065e-6,2.4155048389995673e-5,-2.862151011795464e-5,9.395240882451649e-7,3.1391978642257316e-6,-1.119305684962029e-6,-1.8550833739504193e-7,-9.748156980404686e-7,-6.214362679638414e-6,6.3290935476204886e-6,-2.663648300668077e-6,-2.06101136669886e-6,-2.570942521155515e-6,-2.9010132135676987e-06,1.8690379308983665e-6,3.748224425538328e-6,8.906701268007628e-6,-8.490583727765022e-7,-1.1476124275632612e-4,-2.7657180073294817e-5,-1.4967031946807967e-4,1.0493482309444224e-4,5.110268897186623e-6
-5.838631977856957e-4,2.635373448802159e-4,3.6701710555267286e-4,5.061413490809489e-4,5.761771581487972e-4,4.6905675068736934e-4,4.2396542147796635e-4,3.9940554009883043e-4,4.056617670883595e-4,4.167293007962123e-4,4.0837761634861296e-4,4.0151326196051696e-4,4.179847393338615e-4,4.6168401228400684e-4,-1.3909219659416246e-5,1.7083445660664526e-6,-1.5954737705631463e-8,7.078385440052465e-7,1.617027593987563e-6,1.7069966468246418e-5,8.891911792781035e-6,1.0015375256539086e-5,-8.491760295983324e-7,2.640356457561013e-6,1.0619148357587201e-5,2.4674129923240543e-5,-9.310470698219649e-7,2.875148157248329e-6,1.1450475748430065e-5,-1.0273953000321105e-5,-3.1009039662256966e-6,6.80687920162392e-6,1.1333141743448933e-5,9.693875891206522e-6,-2.1228479070049317e-5,5.440686824750432e-7,3.4990692737726426e-6,-3.2820315758034895e-6,-1.6023799242890599e-6,-1.551539254360262e-6,-5.343369307858086e-6,6.252775682283595e-6,1.8922093714086966e-7,1.1965342041033565e-6,3.5552909361337645e-6,-3.363439978573019e-6,-3.897957852232497e-7,3.985478481534193e-6,1.1719982539526623e-5,-3.89202450536771e-6,-8.082014889769684e-5,-1.3397199414179372e-5,-1.3745544973891053e-4,1.454307442852959e-4,2.3724608310360705e-6
1.0645649669835344e-4,2.5041054378206957e-4,3.870050150092127e-4,4.520122469547998e-4,4.6905675068736966e-4,6.590181147991023e-4,5.814724140438042e-4,5.676670229558563e-4,5.89146692566494e-4,6.05007101414422e-4,6.057727390892433e-4,5.374113041385444e-4,5.999878958661024e-4,5.308534577082668e-4,-1.0223751236766183e-5,1.8634911251070632e-7,-9.16255462487409e-9,8.521813897977948e-6,1.3261544416793087e-5,3.590946804140355e-5,2.5106513913440986e-6,7.502353984355949e-6,-1.0348195987782341e-6,-3.988843162533672e-6,4.94130685423957e-6,2.5729268917918712e-5,-5.4186242628957875e-6,-1.2402752051263696e-5,1.0043003065822148e-5,-1.816351936429466e-5,-6.122523061557141e-6,6.6306533269028535e-6,1.61525847961589e-5,3.430382690114561e-5,-2.435555656024988e-5,5.02919128464074e-7,-2.5629038352165085e-6,1.108084789578671e-6,-5.144708884219548e-7,8.05719341409382e-7,-6.2060196548088215e-6,3.3177314753516067e-6,2.6272272744765404e-6,-3.1916704261711235e-6,6.000548734702333e-7,-3.6641204179454146e-6,7.263003204671752e-7,9.699293993974955e-6,1.15927376577569e-5,-8.745407056976308e-6,-1.2227406935138454e-4,7.981093309203844e-6,-5.838494108406438e-5,9.005541654127646e-5,4.882655314791235e-6
8.075860467293104e-5,2.370120708172765e-4,4.189960901837222e-4,4.0933555889693186e-4,4.239654214779672e-4,5.814724140438048e-4,7.626340713447344e-4,6.705881828113696e-4,6.555046048705116e-4,6.59398382144082e-4,6.707269627665994e-4,5.775611559975861e-4,6.506842067991874e-4,5.329097211878457e-4,-1.1247884457362335e-5,-8.661503541981831e-7,-4.471396120755598e-9,1.0041141890347808e-5,1.6145100231686356e-5,4.211388286246389e-5,-4.182048378682251e-6,6.616970762668737e-6,-4.8799757068180225e-6,-9.014865934449087e-6,-1.2740063254815577e-5,1.6766187992309638e-5,-9.024567324588471e-6,-1.9086248115150483e-6,1.978440737243457e-5,-2.5091168912741183e-5,-1.1177488774635505e-5,7.754516063552476e-6,1.2865409628848087e-5,3.0670848308179374e-5,-2.17258314272469e-5,2.295028676150424e-7,-1.2009148378847703e-6,-2.423194879772853e-7,-4.0073224446472656e-6,1.693055504782307e-6,-5.021636949263129e-6,2.8119904246545446e-6,2.8829456687867263e-6,1.0938126410948815e-6,4.51697719839194e-6,-1.649200283890916e-6,-4.558679347154077e-6,7.253480065268484e-6,1.6885554773342867e-5,-1.1283442416752774e-5,-1.675306168778924e-4,4.021193805019254e-6,-3.3586132440196216e-6,8.175096523355124e-5,2.978997930119517e-6
6.14394692159513e-4,2.5055934960581774e-4,4.2432503401084327e-4,0.00042487885661374603,3.9940554009883076e-4,5.67667022955857e-4,6.705881828113694e-4,7.366242213939219e-4,7.157801115165983e-4,7.210528409650681e-4,7.296918589437306e-4,6.386403210515331e-4,7.184504517344957e-4,6.273675843483099e-4,-6.513360168790541e-6,-5.308019296790307e-7,-7.119781345062934e-9,3.077453274895909e-6,8.70681905073784e-6,3.261388542361255e-5,-1.0368214519138885e-5,1.149438906284749e-6,-3.966956297535935e-6,-8.552221010708455e-6,-7.1373131543339795e-6,1.8551774313295664e-5,-7.021447275780306e-6,7.452454032239136e-7,2.326638671953424e-5,-2.521546509997809e-5,-1.3406693819318796e-5,1.613015435862954e-6,6.801746712047887e-6,2.7846518061748012e-5,-1.939552057252699e-5,2.6078387648455347e-7,-7.678399536983844e-8,1.8429849886377994e-6,1.9805452101170588e-7,5.357527141370847e-7,-5.175118563747922e-6,3.1459541418754463e-6,-5.005104191281981e-8,-3.98877558662236e-6,3.0014326215514005e-6,-2.3864594974086492e-6,-1.8634431448720103e-6,5.689051000651566e-6,1.5746303693655437e-5,-9.531628745226455e-6,-2.1184582904099818e-4,1.5086317051434959e-5,6.59929553097625e-5,6.013775981472665e-5,3.5024694413865167e-6
4.805048675713147e-4,2.4916188342973304e-4,4.230289370051548e-4,4.3746458017337325e-4,4.056617670883613e-4,5.891466925664952e-4,6.555046048705118e-4,7.157801115165977e-4,8.748894993091024e-4,8.73465829668955e-4,8.535738944073985e-4,7.190636512647968e-4,8.401518293621965e-4,7.214552083985086e-4,2.4086665409427986e-6,-2.997309285665561e-6,1.0309382486745398e-8,3.047455359264624e-6,1.8067301809429023e-5,3.949724042024775e-5,-3.419640646309078e-6,-3.4875477443617348e-6,-9.464523153488672e-6,-8.215069469607089e-7,-7.880014824787637e-6,2.9345466306015486e-5,-1.2097978694095157e-5,-1.0410507094644183e-7,2.9662245603497428e-5,-2.2138111553531295e-5,-1.4789112404285194e-5,-7.541934922685392e-7,2.4236470638452353e-5,2.7738206657110205e-5,-2.0956051613526113e-5,1.0360493910958015e-7,-1.438004994776505e-6,5.150552797354041e-6,2.355665808133361e-6,3.2131827732916687e-6,-4.9885859999908326e-6,2.139837394769524e-6,-4.9917389869388335e-8,-4.814453740035494e-6,2.7187774537061974e-7,-2.1991204051858704e-6,-7.801363722432688e-7,6.402052924470635e-6,1.7104158102598644e-5,-1.1834147384142126e-5,-2.2662925557751879e-4,2.5779702892997717e-5,5.095460695586711e-5,5.416995095002294e-5,4.031079604577073e-6
5.50836295111418e-4,3.035454144388899e-4,4.4883518972619945e-4,4.462316524057224e-4,4.1672930079621347e-4,6.050071014144219e-4,6.593983821440813e-4,7.210528409650664e-4,8.734658296689549e-4,0.0010354660309696622,9.718917597207359e-4,7.846293270785773e-4,9.166496778275748e-4,8.191794267370197e-4,9.09313541478006e-6,-3.673076490186665e-6,1.2631013880652853e-8,4.757871584311917e-6,2.2055980203784572e-5,4.32503468546907e-5,-3.125221790207157e-6,7.492660101911079e-7,-9.256245414501859e-6,-1.371663749586785e-5,3.823388393814129e-6,2.54522309579367e-5,-1.913540927915944e-5,5.225445473714863e-6,2.9433676605180294e-5,-2.105598554626904e-5,-1.9450535106777822e-5,-3.952346270897189e-7,2.2278318330174465e-5,2.7444324695945776e-5,-2.5589664887503075e-5,1.8434126865877258e-7,-1.4839213879454163e-6,8.3274680488387e-6,6.118642298307626e-6,2.051910507716036e-6,-3.1994612731302525e-6,1.2534786464208356e-6,-1.724029239798019e-6,-5.87906380969861e-6,1.1243348420760773e-6,-3.0258755089016604e-6,-7.794328629306294e-7,3.924273080621339e-6,1.645932214761783e-5,-1.1456741946758057e-5,-2.564390873802184e-4,3.054264293699709e-5,7.749141652691801e-5,5.574040591785085e-6,4.928478391124598e-6
