(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
0.02375888310766277,1.2232192444539314e-4,-2.9642774437933068e-5,1.3106156889008106e-4,1.4881750082503564e-4,2.555427190937234e-4,2.797058099929923e-4,1.7536227305791613e-4,1.5462984026294406e-4,1.7422711058399245e-4,2.9381418584665695e-4,2.5868048593322752e-5,3.745875419891938e-4,3.697620123836299e-4,2.49101118753879e-6,1.8299052150344366e-6,-1.2889185935609133e-9,-2.0984391577926003e-5,-1.569127622551906e-5,4.2252394487671846e-5,8.81859968498914e-5,-5.331187028065461e-5,-1.052918351294666e-4,5.245577502528175e-5,-2.138531395572566e-5,4.219939382255522e-5,-2.9879760052796416e-5,2.0898497034992508e-5,-7.144176629219095e-5,7.189800012200402e-5,-2.439435783281813e-5,-3.958254711565107e-6,-8.841240557360953e-5,-4.061299069148392e-5,5.0487921544235744e-5,-1.902895338493472e-6,2.79112305223772e-5,-2.526316942928798e-5,-1.7436746950004484e-7,-5.1575803510155904e-6,-1.0429037111307528e-5,5.433741220037854e-6,1.1361428764751445e-6,5.6339891943863836e-6,-2.2924253092949646e-5,2.5705531122887215e-6,-9.596032467939093e-6,-4.156603923927947e-6,-5.238442691846011e-5,-2.4525596935781485e-6,-0.0018575124171248626,-8.912424872582802e-6,8.223309086709571e-4,2.2722716149215094e-4,2.8181377870640326e-5
1.223219244453903e-4,5.8653328453063286e-5,4.4154509318771075e-5,4.879938440912141e-5,4.575046410499516e-5,4.7815067759952836e-5,4.484909697892731e-5,5.0441123078081574e-5,4.729861786058779e-5,5.096975269714855e-5,5.6757225927946706e-5,5.217569158431917e-5,4.635807798243516e-5,5.018186404524837e-5,2.9079634434673907e-6,3.7007961455629166e-7,-3.6358945829286024e-9,-3.0804359547444725e-6,-3.1683632573616153e-6,3.222965789173217e-7,-4.5985042824557073e-7,-1.7047397367061918e-6,3.2529094890696683e-6,9.163291908882444e-7,2.4912771636733163e-6,-3.06732360969129e-7,-2.7868573734709857e-6,6.542870762239578e-7,-2.0913269961165315e-7,2.889066988663133e-6,8.45225475548254e-7,1.5139674247342673e-6,-2.068072087497107e-6,2.2696530844772965e-7,5.2322204273891745e-6,-1.9223823041734729e-7,-2.1173389648524503e-7,5.503707192374804e-7,6.452636814686997e-7,7.783246498747427e-9,2.8326158138134675e-7,4.819726576962828e-7,9.485652632285083e-8,-9.109563093095369e-7,-5.420981229362839e-8,-2.051373512014739e-7,-2.88942620154035e-7,-2.885559084034702e-7,1.0514529195158285e-6,-4.799894955642746e-7,-3.0081056693007804e-5,-9.608501217833683e-7,-1.859331056979566e-5,2.7415665781719497e-5,3.8838061440003766e-7
-2.964277443793707e-5,4.4154509318771116e-5,7.534091453232652e-5,6.010838634224361e-5,6.389376683130004e-5,7.013144382873135e-5,6.67557080759195e-5,6.960490190260824e-5,6.779898797312279e-5,6.662538967635007e-5,6.791615504322386e-5,6.114916838790547e-5,5.313060968024121e-5,6.0296347271033334e-5,3.218138521672245e-6,-1.89997502691242e-8,8.144490421298709e-10,-2.8821314391425808e-6,-2.856270942753529e-6,1.4653553483748729e-6,2.073938472463613e-6,-1.4079941062007025e-6,4.320665673212028e-6,2.0798002595636866e-6,3.853326314856751e-6,-8.880835664585263e-7,-1.6740726527336096e-6,2.60210052936211e-6,-1.4985974422404386e-7,-3.1904064644031937e-6,-9.232840224900206e-7,3.86754345075216e-6,-3.1187766748041297e-7,1.4565749731491751e-6,5.6785923404212844e-6,-2.6410536190945e-7,-4.99055205675592e-7,7.983764636900902e-8,-2.410093826815161e-7,7.889256342686866e-7,2.1618190777470875e-7,2.782405460838237e-7,4.013846362928716e-8,4.4147235803771904e-7,3.4765750235229495e-8,-9.300257506201971e-8,5.6669041581062206e-8,8.672059034468775e-7,9.105317683597162e-7,-1.3795729143033158e-6,-1.8602513910230864e-5,4.9236389479642213e-8,-2.220060906140688e-5,4.009758072852852e-5,-9.375024849751675e-8
1.3106156889007301e-4,4.8799384409121544e-5,6.0108386342243815e-5,9.055120348365284e-5,8.277249883218807e-5,8.610826744615888e-5,7.423024489695992e-5,8.155886690567605e-5,7.680773193564835e-5,7.655571455777452e-5,7.91688776932989e-5,6.673980709772379e-5,6.206260079984733e-5,7.265708146993368e-5,2.9642760681259425e-6,-4.621667939931538e-8,1.2627300010939797e-9,-3.052528930200967e-6,-3.0645722444685566e-6,2.6434482619918684e-6,8.366518687405375e-6,3.7583940696785753e-6,6.222345781319427e-6,4.37311299385407e-9,3.818268412169255e-6,-3.569333125901841e-6,-2.2134635421931953e-7,7.761901657796265e-7,-3.8514218918600395e-7,-3.377608358972001e-6,-1.2619216398294854e-6,3.5036613303933953e-6,2.6275361401462195e-6,4.107645001231541e-6,4.981287488615152e-6,-2.7265032308046946e-7,2.750201145041779e-7,4.0656282815869114e-7,-2.6520593713465347e-7,1.6628088480475794e-7,1.7728419635167062e-7,9.243362256475752e-8,1.6716123177478995e-7,-2.052494100207218e-7,2.1288828705597406e-7,1.1336758437206331e-7,1.042924382498798e-7,7.185574697441839e-7,6.738197267619725e-7,-5.38322877470393e-7,-3.893575564879923e-5,-1.8111380823401544e-6,-1.4532368456573719e-5,4.3691894601875345e-5,-1.999653848797531e-7
1.4881750082502165e-4,4.575046410499514e-5,6.389376683130002e-5,8.277249883218786e-5,1.0687429474891262e-4,1.0209927939394172e-4,9.023473067804764e-5,9.34991750608454e-5,8.749780132951549e-5,8.779876525388271e-5,9.121708217359322e-5,8.252688374765148e-5,7.432911493722022e-5,8.106755123170582e-5,2.9400462743475852e-6,2.497460796114087e-7,-7.984168530139776e-10,-4.060951018392036e-6,-2.0848003139313963e-6,4.209412751038816e-6,3.3144323666535984e-6,8.247469659265213e-7,4.7865434738213995e-6,6.209134830622171e-7,4.808155748007485e-6,-1.3187940144187177e-6,-1.2059871558804156e-6,1.2138400945613733e-6,-2.740568686475737e-6,-4.895292052419201e-6,-3.298111380773186e-6,3.896077350241309e-6,9.617224381083583e-7,2.9816918034433207e-6,6.885861466907237e-6,-3.718373465336681e-7,-5.596342232180589e-8,1.416146423455627e-7,-1.9831521455238666e-7,6.086849282099599e-7,-2.07481019101423e-7,2.7653853058001595e-7,5.795200181483398e-8,2.7284726960607945e-7,-3.370709270677835e-7,-3.699120659014318e-7,-7.807693488418092e-7,1.7644301343863297e-6,1.2057237083855296e-6,-9.106380100214738e-7,-4.153678575059235e-5,-9.307242566703902e-7,-9.646148218522508e-6,3.3552226101332515e-5,1.9799017248356222e-7
2.5554271909370303e-4,4.781506775995276e-5,7.013144382873125e-5,8.610826744615871e-5,1.0209927939394162e-4,1.2672871999301112e-4,1.0671916169422906e-4,1.0506146704566349e-4,9.677022412621089e-5,9.705175070541918e-5,1.028372058391324e-4,9.39935164975329e-5,8.514742909029939e-5,9.115119641202753e-5,3.2138680898642036e-6,3.3170594171018074e-7,-2.1813129539665187e-9,-3.7042271913200418e-6,-2.4361295227579967e-6,3.783641342118837e-6,6.989086363043903e-6,1.6318627096986723e-6,6.743109195991099e-6,-1.292886298473706e-6,4.110238763424792e-6,-2.572713253796092e-6,-8.202836004058117e-7,6.586221439783407e-7,-2.1143114844769367e-6,-5.9671191494143e-6,-3.604857392329108e-6,4.8613795904283425e-6,9.632014106597613e-7,7.094773134870967e-6,6.4303076757262715e-6,-3.5652580373472617e-7,2.6905337015128335e-7,-1.8108016196492408e-8,-3.1331714144506675e-7,7.621510134752013e-7,-4.109879853287484e-8,1.868829215546874e-7,4.0639836743319877e-8,7.236021127442211e-8,5.738987386183046e-7,-4.5370653408879884e-7,-5.426707657093114e-7,1.4613481877880315e-6,5.056090951072863e-7,-1.07852918084091e-6,-5.202707103445782e-5,-1.2882256645650683e-6,-8.585543400875705e-6,3.889224989844442e-5,7.506081288037997e-8
2.797058099929768e-4,4.484909697892724e-5,6.675570807591938e-5,7.423024489695978e-5,9.023473067804768e-5,1.0671916169422917e-4,1.1394100135758691e-4,1.0779627676974508e-4,9.848456877603558e-5,9.731248926914998e-5,1.0460856530366649e-4,9.445091502250309e-5,8.703188418399123e-5,9.171486269115977e-5,2.876736880535807e-6,1.0057721952292158e-7,-8.627864442907407e-11,-5.599047129496224e-6,-5.255758510844016e-6,3.498210237194595e-7,2.7370582057398667e-6,-7.216585512163475e-7,5.420739327859821e-6,-1.2598573184201395e-6,3.8071733424656625e-6,-9.80838278565774e-7,3.113372151425035e-7,1.0567925584796444e-6,-1.3970374381182515e-6,-4.069169699477141e-6,-2.626642849212282e-6,5.618761711889321e-6,7.731024862592871e-7,5.3126732191916915e-6,4.786568279933237e-6,-3.044914199060385e-7,3.194907170298663e-7,1.609129331229988e-8,1.312952321774923e-7,1.1132926917663125e-6,-1.1055671497417324e-7,3.515190565976863e-7,-3.0566282816925427e-7,3.9704422856879824e-7,-4.5949471159463857e-8,-6.640132352423494e-7,-4.7095218369421496e-7,1.2304035264275274e-6,4.714935629686717e-7,-1.1504085382098553e-6,-5.2213719346022395e-5,-9.968685411730345e-7,2.2969477718164823e-6,2.7468148985751652e-5,2.083762756994086e-7
1.7536227305791743e-4,5.0441123078081486e-5,6.960490190260815e-5,8.15588669056758e-5,9.349917506084556e-5,1.0506146704566372e-4,1.077962767697453e-4,1.2272257292723665e-4,1.0503042903682274e-4,1.0567928254170533e-4,1.1534270635268539e-4,1.0176644319059028e-4,9.502253171402443e-5,1.0160416748037386e-4,3.035027759578342e-6,2.7713685443552605e-7,-2.064042622459742e-9,-4.7241182635116165e-6,-5.261117415733476e-6,1.871413665559416e-6,2.444919430518633e-6,6.075349029863416e-8,5.306935557278701e-6,-1.6910989855003276e-6,3.0915583746769713e-6,-1.0878543577746292e-7,6.837628625903707e-7,1.6640281591832512e-6,-2.005786036584997e-6,-2.541731479945332e-6,-8.641850647255636e-7,6.932525031291442e-6,-3.0370479694560427e-7,4.468041517434721e-6,5.739311817995881e-6,-3.1052671075799384e-7,3.7495866765869835e-7,5.575785686764344e-7,1.8829414226975672e-7,1.0775206489030076e-6,8.159265886248026e-8,2.9438516133022024e-7,-3.5820605736722607e-7,-4.177408796667591e-7,1.1552520759068832e-7,-5.612611512128732e-7,-3.629816301607084e-7,7.126844614030919e-7,9.903959858006255e-7,-9.308785031465568e-7,-4.6092662354075435e-5,-1.4494169739248203e-6,2.3125273901880954e-6,2.7580684995033044e-5,-1.7431335556232143e-7
1.5462984026295786e-4,4.7298617860587664e-5,6.779898797312252e-5,7.680773193564813e-5,8.749780132951549e-5,9.67702241262111e-5,9.84845687760357e-5,1.0503042903682275e-4,1.1074515805279523e-4,1.0707752715185989e-4,1.1273997126856858e-4,1.0322243068641804e-4,9.43649344857383e-5,1.0188404693556649e-4,4.02136230774092e-6,1.5860009745680454e-7,-1.6737372858545742e-10,-4.898279179646827e-6,-4.643255492768948e-6,3.853487969275429e-7,-1.6200998520216858e-6,-2.8494618842339774e-7,4.506348493201579e-6,-1.6616976861267242e-7,3.643362142189485e-6,2.4006240095803473e-6,7.533318255691562e-8,2.648975996836368e-6,-2.192609588041791e-6,-1.2742809519608433e-6,-4.118788980900029e-7,8.632737702394629e-6,-6.82296165329864e-7,3.433943201005572e-6,3.6108788578954768e-6,-2.1706900691982714e-7,-3.5576864652150957e-9,9.924098444600642e-7,-8.613636513406275e-8,8.546522738847203e-7,-2.1884652761079642e-7,3.256936117414801e-7,-5.8080963047519714e-8,-3.6786768490357556e-7,-1.5426391019970364e-7,-4.18247155936234e-7,-2.6150048426528454e-7,1.5282943731131347e-6,7.580883364278668e-7,-9.475617099006803e-7,-4.187634139983118e-5,-1.257480977634117e-6,7.1634053248655865e-6,3.0765164504583974e-5,-3.180326939694261e-7
1.7422711058399077e-4,5.0969752697148593e-5,6.662538967635017e-5,7.655571455777451e-5,8.77987652538829e-5,9.705175070541968e-5,9.731248926915016e-5,1.0567928254170537e-4,1.0707752715186e-4,1.1742728993141488e-4,1.2165332949612848e-4,1.059500704854408e-4,9.689245089890612e-5,1.0965618041033723e-4,5.469549830011781e-6,2.1459634362084553e-7,-8.039318048368718e-10,-3.873259608837628e-6,-2.597752858930455e-6,8.756777099537643e-7,8.343266756315311e-7,-7.58885065463661e-7,4.882642143839346e-6,-4.2260410622891796e-7,2.5972235100342322e-6,1.4524246985113033e-6,-6.17603935688231e-7,3.675336253501054e-6,-1.611131931933607e-6,-2.3700980035332877e-6,-7.51524777344213e-7,8.143399642940594e-6,-9.103060937053825e-7,3.563570906449063e-6,4.009852084753655e-6,-2.2314159615943184e-7,4.014764433069187e-7,9.792054306979343e-7,-6.30963622504798e-8,8.246420556758746e-7,2.960743121608375e-7,3.9658649036085547e-7,-1.3487984227644957e-7,-3.453707572098982e-7,4.27280130763677e-7,-4.952539642836264e-7,-2.3359630025496565e-7,1.117480603337832e-6,6.696683361084967e-7,-1.1666672075064153e-6,-5.145920774021963e-5,-1.2307464493219417e-6,9.778904468343544e-6,3.301128284463722e-5,-3.3689496408105216e-7
