(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,satisfaction_standard_living,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
0.5968658767902237,-0.00423408778964213,-0.003627317892760527,-0.009948575721788352,-0.008780420734083187,-0.013234505033646496,-0.009393311601307646,-0.008465451555432092,-0.006021005346839303,-0.0031925055310618317,-0.005182391297840636,-0.006793338747431864,-0.004847127791136953,-0.002505265400205557,0.0020338277253360883,-9.031138034095977e-5,9.314279560003787e-7,1.86116907844402e-4,0.0018942722550185705,2.634122985282441e-4,1.8585619501842974e-4,-0.0015644100913905657,4.988335527221631e-4,-7.901415741955823e-4,3.227051280768951e-4,-0.0012487924598443357,1.500019082193047e-4,-0.0017570666134507523,0.0013769172368667372,0.002109882794465897,5.190281192484224e-4,-0.0012387738910031513,5.445459562163658e-4,1.7911141056818131e-4,-0.001263922701844548,-8.74539202236036e-6,-0.0015930868531319601,2.1569335059725534e-4,-3.5740360895975876e-4,-0.0011927632764094454,5.616905125544364e-5,-3.559477787393782e-4,2.0872007094708712e-4,2.0944843164851477e-4,1.5045122246417687e-4,-0.0012332050957081296,6.082478851314704e-4,1.502394947402321e-4,8.634758249245067e-5,-0.0024395694897807246,4.209128157844423e-5,-0.023925708140150388,0.0010502422502814811,0.015155882430313466,-0.0026124997092080863,2.786299112335409e-4
-0.004234087789642294,0.0013005196632725898,0.001076862661767816,0.0010758485252271273,0.0010358211708888386,0.0011879802196529201,0.0011063154337618542,0.0010420639027462493,9.483989098326034e-4,9.688759911949975e-4,0.0010742142801720685,0.0012429892242209815,0.001191976347071286,0.0010951905532091692,-1.450720107324435e-5,1.3989922061446165e-5,-1.286281574187905e-7,7.969373338772973e-6,-8.657124845461838e-6,6.6232438075652324e-6,-5.6226607059841564e-5,4.7339332088996564e-6,-9.110835205862975e-5,3.546512421927521e-5,-8.682478759313555e-6,2.191561007821349e-6,-6.1457549229788485e-6,-5.523492505079065e-5,-9.796949811482412e-6,-7.120605976394916e-5,-1.1006098789215172e-5,7.058871913531838e-6,-2.592330151301639e-5,-3.784267474632076e-5,3.316243753002324e-5,-3.4697741366709704e-8,7.344368492322071e-5,5.793430702758088e-7,1.2300886568562183e-5,-1.7660019760141684e-6,-1.0652072369325619e-5,7.226280708018498e-6,4.581865369267703e-6,-9.606751508479957e-6,1.2064940576273485e-6,3.0076392788496958e-6,-6.650955567104997e-6,-1.4697551900108427e-5,-8.379793526585103e-6,5.835268604858432e-5,-5.6917206435396766e-6,-1.7280720957978338e-4,7.666110587562546e-6,-1.2601077704660221e-4,-1.6422167629704922e-4,1.0289146845476506e-5
-0.0036273178927605176,0.0010768626617678207,0.0025036509890601307,0.001886818043639321,0.0017096901277308164,0.0020071213811034025,0.0019953429153883938,0.0018855277335972187,0.0019540747248695672,0.0020056860971882557,0.0018279620087864915,0.002041586800140327,0.0019971358813574655,0.0017414196011900297,4.171741274594056e-6,1.3169956766312427e-5,-9.071292090240513e-8,3.313548098489462e-5,-9.409066234623582e-5,-4.0421537480194274e-7,-4.5068464062052535e-5,5.723166391392488e-5,-1.0616086681763433e-4,6.059894052161971e-5,1.4377647271672265e-5,-8.304023718321525e-5,-2.211293199579542e-5,-1.0956503050920795e-4,8.737634424038008e-5,-3.0771648487855924e-5,6.483252456967674e-5,1.1259243630628296e-5,-7.586784707150528e-5,-3.578000355012028e-5,-1.0770658178013661e-4,2.2431420711633613e-6,2.4906883264243448e-5,-2.3894629256867657e-5,3.341335910316352e-5,-2.022837998395337e-5,-5.301075608738128e-6,1.8379067130540362e-5,-8.673283491978483e-7,-3.330628412914867e-5,5.390670874493299e-6,-2.1221532130359476e-5,1.509640861934522e-5,-2.3035911294649377e-5,2.7061696991980327e-5,4.8619958663597565e-5,-1.6430997235752008e-5,-4.2145164097954684e-5,3.483264534272771e-6,4.083236386066515e-4,-6.346645794174686e-4,1.4526453884827092e-5
-0.009948575721788479,0.0010758485252271278,0.001886818043639317,0.0025596828119888696,0.0020677674315537626,0.0023793347020906633,0.0020603535017785562,0.0019158636398711037,0.001959767872342489,0.00191691628918718,0.001799984657264269,0.002014347728495323,0.00191007987625137,0.0018471542935856364,-1.556725588270992e-5,1.8703984654873036e-5,-1.3793814829800322e-7,3.2897124593701215e-5,-9.029612090577123e-5,-1.6438002923061604e-5,-3.6535571797701386e-5,6.087635813434133e-5,-3.421059212799733e-5,4.1624304573763894e-5,1.192397880017925e-5,-5.569672984562673e-5,2.939476414094526e-6,-8.868137411082505e-6,9.19007598877617e-5,-6.869233220636088e-5,5.2959901770556935e-5,3.386863448857404e-5,3.9115469065069176e-5,-1.0580259236710276e-5,-5.2295729870192685e-5,2.6617226750844526e-6,4.498955512245024e-5,-2.6927634974205646e-5,4.702298717061066e-5,2.2485622150245604e-5,-1.4717454814553068e-6,7.013310361629827e-6,-6.171691499743817e-7,-2.0560207936769958e-5,3.171789622088225e-6,-2.0462755428712443e-6,2.386749530104363e-6,-2.082634888230001e-5,5.862747653582161e-6,9.985926873420359e-5,-5.656037412394569e-6,-4.886141760083513e-4,-7.294776229400998e-5,1.5277280903712342e-5,-5.644178285440437e-4,2.5632573644124082e-5
-0.00878042073408312,0.001035821170888846,0.0017096901277308184,0.002067767431553771,0.00279836842380226,0.002558295251831962,0.002075711679922384,0.0019512841430871163,0.0019884397536944804,0.0018594325840977433,0.0017412399083687388,0.001987615153367945,0.0017889057774074359,0.0018465650201038184,-4.825431502811472e-5,-4.874053095729494e-6,4.620905122702557e-8,1.130733666880793e-4,4.651970903136263e-5,3.430629853288445e-5,8.370354053015187e-6,9.333200020681324e-5,6.89687742117521e-5,-2.085466740857185e-6,7.661425925616292e-5,-2.843950711764521e-5,2.169776711841944e-5,4.883882906244725e-6,1.1815527285068434e-4,-1.2018209313756344e-4,7.167409843162718e-5,6.034393311109926e-5,3.742256706640782e-5,-1.6628903349478893e-5,2.8912482326126108e-5,-5.812267762413227e-7,2.196891528118255e-4,-3.502220465723271e-5,3.514740748364998e-5,2.6775202019907818e-5,-2.032671645852058e-6,8.276753407772592e-6,1.3897554250092337e-5,-1.7427394058664464e-5,1.2576155751638926e-5,-4.6820320337668846e-7,-7.917446749279948e-7,-2.5150320018857508e-5,1.154447373031114e-5,9.630766500844134e-5,-1.3361077276824755e-5,-5.564883188560327e-4,-5.25486825730183e-5,3.991332293464654e-4,-5.654999695540539e-4,1.5109471765125082e-5
-0.013234505033646485,0.001187980219652924,0.002007121381103402,0.0023793347020906685,0.0025582952518319576,0.003877546593924768,0.0026682988198006748,0.0025301171065253616,0.0023264913174808033,0.002287100319808421,0.002252346735703861,0.0023364999560383987,0.0022571842659538455,0.0022508877349535937,-1.728916917042054e-4,-1.0358616808703332e-5,1.1004317520949081e-7,5.857228579333022e-5,-3.5809861411646206e-5,4.247890462521373e-5,4.743400778942148e-5,5.4405032456581075e-5,3.163596526457437e-5,7.426849647335749e-5,1.9199811224313422e-5,2.2850734586481263e-5,-1.7646108648625182e-5,-6.168990363920063e-6,8.588220549307437e-5,-1.758825588461588e-4,5.987057928368351e-5,1.111422842385741e-4,7.650900633019143e-5,4.420900390972934e-5,2.499172784276659e-5,-9.9919621165508e-7,1.948236939940391e-4,-1.987878837643343e-5,2.1549735430794334e-5,1.0795703334825979e-5,-1.5281054606264278e-6,2.4372123937189023e-5,1.056312530575806e-5,-2.8528426403803754e-5,1.8373800210061e-5,3.232881093065944e-5,-2.7893697729474383e-7,-2.392129109006833e-5,1.6229828645147186e-5,1.108713517335804e-4,-2.3459871258860668e-5,-4.8669989019760996e-4,-4.9178305472791575e-5,3.318654869562217e-4,-8.723962686235086e-4,1.7255797952408078e-5
-0.009393311601307804,0.0011063154337618544,0.001995342915388389,0.002060353501778558,0.002075711679922375,0.00266829881980067,0.0030342131088400685,0.0024650672888748898,0.002469731617876841,0.002532416833714988,0.00243229571218764,0.0027006042783951187,0.0024921667825462826,0.0024757312804453754,-5.879964515470525e-5,8.36660894743149e-6,-8.244923248023459e-8,4.194455828461332e-5,-6.317707361401114e-5,-3.2780011934718196e-5,-3.793645279938393e-5,6.500318924239994e-5,-4.836025240608422e-5,5.341252493157253e-5,6.074453427878491e-5,-5.3142178027360385e-5,-6.363585694138664e-5,-4.259195231559422e-5,1.306386170217311e-4,-1.150774098085651e-4,5.506437723658929e-5,1.8196672240355426e-5,-2.354385594500496e-6,3.825963756548893e-5,-8.896514682803779e-5,1.5314443767169608e-6,5.033942139409052e-5,-2.3302491111841158e-5,3.7650599052896285e-5,-1.1432399180678494e-5,1.1718267584352424e-5,1.2281720003543734e-5,1.47494177546987e-5,-4.01572074585555e-5,1.165837119753901e-5,8.236551334086523e-6,1.580304861508358e-6,-3.4085943851947184e-5,9.986959911420481e-6,8.718845381481165e-5,-1.8780618634543847e-5,-1.2631080101232055e-4,-2.5057685320881628e-5,3.051892006497021e-4,-8.830257138215891e-4,1.0531812744132469e-5
-0.008465451555432093,0.0010420639027462495,0.0018855277335972133,0.0019158636398711032,0.0019512841430871092,0.002530117106525359,0.002465067288874893,0.0027182393103333947,0.0026472015270659175,0.002706493697498681,0.002536406913868585,0.0023686628983546876,0.0024335814135367654,0.0023575779617345696,-7.51159149673225e-5,6.352073461649928e-6,-5.7866300605814534e-8,5.0913317074968846e-5,-3.508391052333333e-5,3.55227653395548e-6,-1.4905845304418619e-5,7.261794714693021e-5,-5.1407831919461424e-5,3.3390709002409345e-5,4.260592098204589e-5,-3.731751890347331e-5,-2.582527077358797e-5,-9.754832267293773e-5,1.2882253701173416e-4,-6.876976610789802e-5,4.3965515487201193e-5,3.270192291774689e-5,-2.1303285797290035e-5,4.211575697045368e-5,-1.6016299602287766e-4,3.683800596900605e-6,8.486233289428031e-5,-8.234434885231179e-6,3.636649444160384e-5,-2.4800722478573142e-5,-1.5617845566034842e-6,2.1634529197297586e-5,7.66754857688916e-6,-3.6655145725393985e-5,-5.617117626197423e-6,1.5467515195452603e-5,9.979146328859164e-7,-2.572807850807742e-5,3.100103513757433e-5,7.168845225085459e-5,-2.1340857034390778e-5,-7.491644019107436e-5,-5.4243634325047135e-5,1.8234865704007782e-4,-8.660180566375054e-4,1.8001068055208742e-5
-0.006021005346839175,9.483989098326023e-4,0.0019540747248695633,0.001959767872342488,0.001988439753694471,0.0023264913174808007,0.0024697316178768397,0.002647201527065916,0.0032464718802125495,0.003073545661395689,0.00284905737154866,0.0027302301929618255,0.0027695467624530698,0.0025587737159991075,7.70200396463096e-6,1.4583432825273746e-5,-9.803172373169982e-8,1.6688262123937844e-5,-6.8412410210591e-5,-5.858472597739225e-5,-1.1978125929547771e-5,1.9788570428481093e-5,-1.1486567067118068e-4,3.17495343279977e-5,2.7818368295837828e-5,-5.252809095674444e-5,-2.3144973425856584e-5,-1.1032893066151422e-4,9.002242319336932e-5,-2.2755105950718706e-5,6.911987992181151e-5,-2.0796539577773902e-5,-7.60425935785883e-6,-1.89784238871682e-5,-2.233208632903627e-4,6.186087803606404e-6,-3.229097337155552e-5,-1.4215656536924937e-5,5.107151597041473e-5,-3.888258236573908e-5,1.0191207279815824e-5,1.3398449003650154e-5,1.1864810765007394e-6,-3.68587258420545e-5,-4.042452087043101e-6,-1.8855422891292437e-5,-6.847129613868557e-7,-2.031702879637902e-5,4.144566388450922e-5,5.5425841277920996e-5,-2.172718499675962e-5,1.1771115105204523e-4,-7.752420468848251e-5,1.6316769388391198e-4,-0.0010161868516280533,1.7502440646215886e-5
-0.0031925055310617428,9.688759911949947e-4,0.0020056860971882523,0.0019169162891871795,0.0018594325840977349,0.002287100319808416,0.002532416833714989,0.0027064936974986807,0.0030735456613956865,0.0034357781699035613,0.003119308308874652,0.0027805305997353922,0.002879948211160918,0.0026348151354909184,-2.193263195044359e-5,1.8005125730859695e-5,-1.4382321625091786e-7,-5.903691666061903e-6,-1.1510426140504856e-4,-6.849599941099872e-5,5.739975285497134e-6,6.751544289463872e-5,-8.027729213447772e-5,3.503358556197074e-5,5.8437220746586e-5,-7.423808228347881e-5,-1.7120384040510705e-5,-6.642073918955999e-5,1.4583482300398466e-4,-4.980606664388555e-5,5.3384695977841354e-5,-4.664202516866028e-6,-1.689583518331136e-6,2.0228782827276052e-5,-2.728090298791173e-4,6.583339631261719e-6,-5.702214534662566e-5,-1.697326335773602e-5,5.940588945257743e-5,-7.00638239055293e-5,9.171620915129689e-6,1.24388332954643e-5,1.680184558582537e-6,-3.7681795215737796e-5,-7.226030148628088e-6,-1.6659047768198835e-5,7.322150021690773e-6,-2.0971165065508648e-5,5.4799999005593705e-5,4.384975953888085e-5,-2.6111765133043154e-5,7.031287767761414e-5,-8.741320379210203e-5,2.492472381556107e-4,-9.396016914875775e-4,1.5026572860979719e-5
