"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","note_classif","note_classif.label"
"ABW","Aruba","XA:6635","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",92.6,,
"ABW","Aruba","XA:6635","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",87,,
"AFG","Afghanistan","XA:6636","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",7.5,,
"AGO","Angola","XA:6579","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",10.5,,
"AGO","Angola","XA:6579","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",9.9,,
"AIA","Anguilla","XA:6637","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",68.8,,
"AIA","Anguilla","XA:6637","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2019",57.7,,
"ALB","Albania","XA:6547","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",77.6,,
"ARE","United Arab Emirates","XA:6638","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",3.5,,
"ARG","Argentina","XA:6531","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",58.4,,
"ARG","Argentina","XA:6531","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",63.8,,
"ARG","Argentina","XA:6531","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",67,,
