"","p=05","p=10","p=15","p=20","p=25","p=30","p=35","p=40","p=45","p=50","p=55"
"(Intercept)",1.24956367986151e-06,1.68758116370071e-08,2.34624782247117e-06,1.46574239479058e-06,3.28416261741182e-07,5.03663568407475e-07,1.79577271719467e-06,7.07128714472205e-07,1.21620398196853e-07,8.55199002280926e-07,3.71183494607408e-07
"year2010",0.898253709586489,0.291353866483909,0.0283289880003206,0.0629579160338827,0.244993387169546,0.248329195521399,0.210861504142497,0.100506111053271,0.361803373820536,0.115878860109838,0.0480764510242007
"year2011",0.852410976425448,0.28980272603665,0.157690331276424,0.0904512629120886,0.146927935699396,0.271841547365799,0.259931983628698,0.301386612177245,0.459599755162375,0.325482067947682,0.336787627499036
"year2012",0.139910386175398,0.0160326615754922,0.00366859529209562,0.00467048868529596,0.00389429415457565,0.0150439455112124,0.00253590411400739,0.00470441633312713,0.0294875229678113,0.00358141093070907,0.00648408799354638
"year2013",0.00488323959389936,0.000257819276342275,6.5692396716388e-05,9.16058529112362e-05,0.000482682715951421,0.0032670304778375,0.000246700119894472,0.000495464133792201,0.00525452456150832,0.00162207908492973,0.000336027201610856
"year2014",0.031381833089215,0.0147330422857623,0.00379761337041251,0.000566779667805051,0.00482319079660432,0.00594587575965377,0.00398680807313334,0.00187952091664356,0.0103683959365022,0.00230066443497989,0.00255619389400907
"year2015",0.0983541104226502,0.00179806986135955,0.000290869146338357,0.000139211120010474,0.000207045695427066,0.00422714632469945,0.000218818415059552,0.000515841117848082,0.00796119290912811,0.000466665005769418,0.000177062695694952
"year2016",0.159564455383079,0.000261516030658493,0.000515036329272744,0.000629046293796787,0.000375078498747961,0.00185950151697822,0.000866410422051267,0.00048912848499616,0.0042471602834302,0.00175952708311633,0.00106728129422873
"year2017",0.398693987600107,0.0981228542649952,0.00965154827288051,0.14802814490557,0.149440710972973,0.0914174157450081,0.154421259194989,0.0749510403372158,0.246947991216379,0.193588771910948,0.0845374273093102
"year2018",0.447321280845107,0.185325405865385,0.0536185614757727,0.0726850191646073,0.158758930253024,0.238269683981422,0.136600628103551,0.151771480147747,0.316686166853591,0.131699063756693,0.172629751190768
"year2019",0.958148684973352,0.939174086130827,0.526654222818503,0.267631600906247,0.564757996741294,0.699268083812929,0.528843972151134,0.735045439675687,0.978339862871859,0.799519818108654,0.906372529657115
"year2020",0.760126029523829,0.384522089220425,0.754149925280089,0.885109709145758,0.633149745917492,0.431783412258021,0.308537904592213,0.467271652425598,0.204406968896394,0.398674969053206,0.57113768336108
"year2021",0.652845516558267,0.961275235623755,0.673060236874983,0.777879969414938,0.897254623456795,0.759271433378536,0.742496275135949,0.990768156347768,0.571874641474184,0.774088339714307,0.933183368992337
"year2022",0.875975916548327,0.199942194768504,0.163553629873023,0.408583277385223,0.303608574424043,0.488925128354924,0.467893979121471,0.333776471504907,0.585365891653545,0.614505163877123,0.413945858320898
"gendermale",0,0,0,0,0,0,0,0,0,0,0
"age",0,0,0,0,0,0,0,0,0,0,0
"age_squared",3.34288152714635e-12,2.34470221016636e-11,1.50990331349021e-14,0,0,0,0,0,0,0,0
"relationship_statuspartnered",2.39885888930758e-11,2.22044604925031e-16,2.61124455391837e-13,4.44089209850063e-16,0,0,0,0,0,0,0
"relationship_statusseparated",0.226893658665486,0.000100919595083404,5.90363313790476e-11,4.03760760492311e-06,1.00008068493196e-09,5.04618569152626e-12,7.21422921401427e-13,1.25388588401165e-12,0,2.22044604925031e-16,5.28244115116649e-13
"relationship_statuswidowed",0.00316156952265501,4.2739193917285e-07,1.16266485328254e-09,8.20721268723901e-12,2.02575733965205e-11,0,4.44089209850063e-16,3.59712259978551e-14,0,0,0
"food1",0,0,0,0,0,0,0,0,0,0,0
"housing1",0.000153823181044732,1.94133598085955e-12,2.07167616395054e-13,6.46149800331841e-14,2.22044604925031e-15,0,0,0,0,0,0
"health1",0,0,0,0,0,0,0,0,0,0,0
"water1",1.42927585322639e-08,1.17460707826922e-10,0,2.08721928629529e-14,0,0,0,0,0,0,0
"air1",0.111091418805617,0.0609356838042687,0.287830412870506,0.583935052239598,0.293486349065264,0.411399845303104,0.119151376617103,0.160277980247274,0.0636283259769463,0.469574397844075,0.127455126722869
"healthcare1",0,0,0,0,0,0,0,0,0,0,0
"security",9.31565833139913e-07,9.83973167716368e-05,9.9156238775322e-12,4.52970994047064e-14,1.86517468137026e-14,1.32560629140244e-13,2.22044604925031e-16,0,1.11022302462516e-15,0,0
"social_support1",0,0,0,0,0,0,0,0,0,0,0
"respect1",0.000235744307177876,0,0,0,0,0,0,0,0,0,0
"education1",0,0,0,0,0,0,0,0,0,0,0
"interesting_activity1",0,0,0,0,0,0,0,0,0,0,0
"recreation1",0,0,0,0,0,0,0,0,0,0,0
"occupation1",0,0,0,0,0,0,0,0,0,0,0
"freedom1",0,0,0,0,0,0,0,0,0,0,0
"personal_income",2.70496077603433e-05,0.0438831583621895,0.00241513025994355,0.000497409931222936,0.00184582517633913,0.0102058382116852,0.00658518580611012,0.00406738018247665,0.0124625068734503,0.00238870751166664,0.0016096784459303
"relative_income",1.97619698383278e-14,0,0,0,0,0,0,0,0,0,0
"gdp",0,0,0,0,0,0,0,0,0,0,0
"growth",0.0635780460696511,0.0876394910731586,0.027919062796482,0.0255182609276245,0.0537325171952163,0.0574694938251603,0.033956326396819,0.0479977835626941,0.0296647020438094,0.0427573930407688,0.0903665046185989
